StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.8039483,None,individual,aloud,blue,38,160,317.8111422,None,None,317.8111422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.3210291,None,murder,aloud,blue,35,195,320.3224175,None,None,320.3224175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.8365344,None,command,sing,yellow,4,60,322.8423044,None,None,322.8423044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.3524471,None,executive,sing,yellow,8,122,325.3598136,None,None,325.3598136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.8681275,None,drove,aloud,blue,52,106,327.8716559,None,None,327.8716559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.3817954,None,drama,aloud,blue,44,103,330.387113,None,None,330.387113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.8967017,None,distance,sing,yellow,29,100,332.9033477,None,None,332.9033477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.4152526,None,express,aloud,blue,59,124,335.4218591,None,None,335.4218591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.9299277,None,position,sing,yellow,22,229,337.9369507,None,None,337.9369507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.4466283,None,citizen,aloud,blue,55,50,340.4508993,None,None,340.4508993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
