StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,956.5423863,None,,,,,,,,,,,,,,,,,military,new_a,white,101,116,190,952.4003995,None,952.4003995,None,2,2.856531,952.4003995,None,955.3025828,None,955.8299766,None,955.8299766,None,f,0.6863011,955.8299766,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,959.0154566,None,,,,,,,,,,,,,,,,,weather,aloud,white,102,49,352,957.0908484,None,957.0908484,None,6,1.2588713,957.0908484,None,958.4245417,None,958.9445167,None,958.9445167,None,r,0.0146808,958.9445167,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,961.5503422,None,,,,,,,,,,,,,,,,,master,new_a,white,103,106,180,959.5555875,None,959.5555875,None,6,1.2002979,959.5555875,None,960.8380812,None,961.3607141,None,961.3607141,None,r,0.1420134,961.3607141,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,966.1319077,None,,,,,,,,,,,,,,,,,watch,new_b,white,104,131,351,962.0874987,None,962.0874987,None,6,2.9627539,962.0874987,None,965.1209142,None,965.6420888,None,965.6420888,None,r,0.4353591,965.6420888,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,968.6142348,None,,,,,,,,,,,,,,,,,thing,silent,white,105,70,328,966.6687754,None,966.6687754,None,6,0.9811501,966.6687754,None,967.7187967,None,968.2387942,None,968.2387942,None,r,0.3284524,968.2387942,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,970.8471552,None,,,,,,,,,,,,,,,,,guide,sing,white,106,11,147,969.1514257,None,969.1514257,None,6,0.7313818,969.1514257,None,969.950734,None,970.4723223,None,970.4723223,None,r,0.3154538,970.4723223,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,973.9938579,None,,,,,,,,,,,,,,,,,shear,new_a,white,107,119,283,971.3835961,None,971.3835961,None,2,1.4001555,971.3835961,None,972.8597367,None,973.386872,None,973.386872,None,f,0.5500646,973.386872,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,980.193363,None,,,,,,,,,,,,,,,,,fight,new_a,white,108,99,127,974.5336505,None,974.5336505,None,1,2.8126257,974.5336505,None,977.4154833,None,977.9360615,None,977.9360615,None,n,2.2061564,977.9360615,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,982.858871,None,,,,,,,,,,,,,,,,,rough,new_c,white,109,178,266,980.7040736,None,980.7040736,None,1,1.0406294,980.7040736,None,981.8007108,None,982.3360413,None,982.3360413,None,n,0.4681242,982.3360413,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,985.8911122,None,,,,,,,,,,,,,,,,,escape,new_c,white,110,150,118,983.3961713,None,983.3961713,None,6,1.6987618,983.3961713,None,985.160276,None,985.6831723,None,985.6831723,None,r,0.1561715,985.6831723,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
