StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
84,0,84,0,,,,,,,,,,,,,,skill,sing,yellow,18,289,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
85,0,85,0,,,,,,,,,,,,,,century,sing,yellow,29,45,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
86,0,86,0,,,,,,,,,,,,,,quarter,silent,blue,60,246,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
87,0,87,0,,,,,,,,,,,,,,plane,silent,blue,74,223,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
88,0,88,0,,,,,,,,,,,,,,union,aloud,red,36,344,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
89,0,89,0,,,,,,,,,,,,,,number,aloud,red,46,203,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,,,,,,,,,,,,,,,,,,,,k,89.0574917,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,universal,new_aloud,red,0,133,345,5,12.5556946,f,3.0771351,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,title,new_sing,yellow,1,90,331,5,6.3698914,f,1.82440489999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,executive,aloud,red,2,43,122,6,4.0122441,r,1.93187640001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
