StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.9368909,None,native,sing,yellow,26,199,386.9337772,None,None,386.9337772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.4511575,None,express,silent,red,67,124,389.4462234,None,None,389.4462234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.9690421,None,hearing,silent,red,87,150,391.9664701,None,None,391.9664701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.4853306,None,drink,aloud,blue,59,105,394.4704496,None,None,394.4704496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0029928,None,court,sing,yellow,9,75,396.9977641,None,None,396.9977641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.5195695,None,count,sing,yellow,8,72,399.5158586,None,None,399.5158586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0363216,None,question,sing,yellow,27,247,402.0394574,None,None,402.0394574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.5542161,None,permit,sing,yellow,21,218,404.5460334,None,None,404.5460334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.0700091,None,population,silent,red,77,227,407.0737456,None,None,407.0737456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.5859814,None,heavy,aloud,blue,44,151,409.572074,None,None,409.572074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
