StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,120,0,120,0,,,,,,,,,,,,,,,,,,tennis,silent,blue,120,78,323,6,1.38484750001,f,0.322700400022,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,121,0,121,0,,,,,,,,,,,,,,,,,,minor,new_aloud,yellow,121,132,191,6,1.17630729999,f,0.224277000001,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,122,0,122,0,,,,,,,,,,,,,,,,,,build,sing,red,122,18,35,6,1.18593859999,f,0.267023499997,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,123,0,123,0,,,,,,,,,,,,,,,,,,short,new_sing,red,123,95,285,1,1.50515630003,n,0.606013099954,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,124,0,124,0,,,,,,,,,,,,,,,,,,motion,sing,red,124,22,194,5,1.38009370002,f,0.251263300015,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,125,0,125,0,,,,,,,,,,,,,,,,,,symbol,aloud,yellow,125,47,321,4,2.12250279996,f,0.791176600032,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,126,0,126,0,,,,,,,,,,,,,,,,,,second,new_silent,blue,126,156,278,1,2.22127450001,n,0.32055600005,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,127,0,127,0,,,,,,,,,,,,,,,,,,swift,new_silent,blue,127,174,320,1,3.5329629,n,0.527352800011,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,128,0,128,0,,,,,,,,,,,,,,,,,,agreement,new_sing,red,128,110,5,5,1.4551505,f,0.479241300025,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,129,0,129,0,,,,,,,,,,,,,,,,,,display,new_silent,blue,129,166,98,1,1.8427871,n,0.331005099986,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,household,new_silent,blue,130,169,154,1,1.36988190003,n,0.304791499977,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,nature,new_aloud,yellow,131,131,200,3,1.7261578,f,0.744081499986,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,error,sing,red,132,23,117,6,1.41664870002,r,0.322143900034,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,sunset,silent,blue,133,72,315,2,2.78071890003,n,0.130996699969,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,agency,new_sing,red,134,112,4,1,2.17680949997,n,0.2632323,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,135,0,135,0,,,,,,,,,,,,,,,,,,cousin,silent,blue,135,65,76,6,1.1902984,f,0.518280400021,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,136,0,136,0,,,,,,,,,,,,,,,,,,escape,new_sing,red,136,93,118,4,2.44265410001,f,0.296652799996,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,137,0,137,0,,,,,,,,,,,,,,,,,,watch,sing,red,137,9,351,1,1.75050739996,n,0.870687000046,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,138,0,138,0,,,,,,,,,,,,,,,,,,community,aloud,yellow,138,46,63,6,1.1999609,f,0.674853600038,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,education,aloud,yellow,139,34,108,6,1.34911810001,r,0.274389999977,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,140,0,140,0,,,,,,,,,,,,,,,,,,surface,aloud,yellow,140,57,316,2,4.20999440004,n,0.316063100006,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,tragedy,new_silent,blue,141,155,335,2,3.11494319997,n,0.441483800008,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,broad,sing,red,142,3,31,6,1.37937619997,r,1.169956,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,cross,new_aloud,yellow,143,126,80,1,1.66494779999,n,0.349093700002,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,block,new_sing,red,144,99,25,1,1.44712020003,n,0.265858899977,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,heavy,new_aloud,yellow,145,145,151,2,1.7411248,f,0.269942399987,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,surprise,new_sing,red,146,104,317,1,2.14211060002,n,0.184419999947,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,vision,new_silent,blue,147,151,347,4,1.5511485,f,0.366166599968,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,148,0,148,0,,,,,,,,,,,,,,,,,,pressure,silent,blue,148,75,232,2,1.56008520001,f,0.250120199984,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,149,0,149,0,,,,,,,,,,,,,,,,,,device,new_sing,red,149,111,93,1,1.59842439997,n,0.300665300048,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,150,0,150,0,,,,,,,,,,,,,,,,,,waste,new_sing,red,150,114,350,5,1.5087674,f,0.317481199978,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,151,0,151,0,,,,,,,,,,,,,,,,,,drove,new_sing,red,151,116,106,5,2.1286317,f,0.0905519000371,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,152,0,152,0,,,,,,,,,,,,,,,,,,damage,new_sing,red,152,109,83,1,1.39958329999,n,0.334234000009,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,153,0,153,0,,,,,,,,,,,,,,,,,,machinery,sing,red,153,25,175,6,2.34885110002,r,0.259579900012,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
