StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,2582.195647,None,,,,,,,,,,,,,,,,,raise,aloud,white,1,36,250,2575.79354,None,2575.79354,None,6,3.601518935,2575.79354,None,2579.431036,None,2579.944966,None,2579.944966,None,f,2.201989482,2579.944966,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,2589.981395,None,,,,,,,,,,,,,,,,,trend,new_a,white,2,103,340,2582.695642,None,2582.695642,None,3,3.627366339,2582.695642,None,2586.364268,None,2586.880394,None,2586.880394,None,n,3.066121583,2586.880394,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,2597.216934,None,,,,,,,,,,,,,,,,,enemy,new_c,white,3,151,113,2590.498769,None,2590.498769,None,4,3.831472503,2590.498769,None,2594.370577,None,2594.882736,None,2594.882736,None,f,2.295286449,2594.882736,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,2603.818962,None,,,,,,,,,,,,,,,,,swift,silent,white,4,76,320,2597.733767,None,2597.733767,None,1,3.267916689,2597.733767,None,2601.055057,None,2601.568282,None,2601.568282,None,n,2.209609661,2601.568282,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,2610.871136,None,,,,,,,,,,,,,,,,,store,aloud,white,5,53,305,2604.335769,None,2604.335769,None,4,4.097584134,2604.335769,None,2608.470667,None,2608.987208,None,2608.987208,None,f,1.845976718,2608.987208,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,2618.523446,None,,,,,,,,,,,,,,,,,block,silent,white,6,88,25,2611.390453,None,2611.390453,None,3,4.034421116,2611.390453,None,2615.48033,None,2615.989283,None,2615.989283,None,n,2.499401009,2615.989283,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,2624.225219,None,,,,,,,,,,,,,,,,,track,new_c,white,7,152,334,2619.041262,None,2619.041262,None,6,3.031277193,2619.041262,None,2622.115935,None,2622.624597,None,2622.624597,None,f,1.560011009,2622.624597,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,2631.027287,None,,,,,,,,,,,,,,,,,clear,new_c,white,8,150,52,2624.742037,None,2624.742037,None,1,1.882241145,2624.742037,None,2626.66344,None,2627.17612,None,2627.17612,None,f,3.808490986,2627.17612,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,2640.880302,None,,,,,,,,,,,,,,,,,passage,aloud,white,9,47,212,2631.544133,None,2631.544133,None,1,4.191830591,2631.544133,None,2635.784214,None,2636.295597,None,2636.295597,None,n,4.544057834,2636.295597,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,2647.899143,None,,,,,,,,,,,,,,,,,close,new_c,white,10,175,53,2641.397154,None,2641.397154,None,2,3.57817168,2641.397154,None,2645.016509,None,2645.531708,None,2645.531708,None,n,2.323885912,2645.531708,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,2655.301404,None,,,,,,,,,,,,,,,,,angle,new_c,white,11,155,7,2648.415973,None,2648.415973,None,2,3.998709651,2648.415973,None,2652.452333,None,2652.967338,None,2652.967338,None,n,2.287074121,2652.967338,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,2661.036497,None,,,,,,,,,,,,,,,,,commercial,new_c,white,12,156,61,2655.818164,None,2655.818164,None,6,2.396165341,2655.818164,None,2658.258208,None,2658.769057,None,2658.769057,None,r,2.229019316,2658.769057,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,2667.588513,None,,,,,,,,,,,,,,,,,beauty,aloud,white,13,49,18,2661.556115,None,2661.556115,None,6,2.825736687,2661.556115,None,2664.423949,None,2664.937696,None,2664.937696,None,r,2.603944754,2664.937696,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,2672.273263,None,,,,,,,,,,,,,,,,,congress,new_c,white,14,164,67,2668.105215,None,2668.105215,None,1,1.924699805,2668.105215,None,2670.078039,None,2670.589332,None,2670.589332,None,n,1.640954342,2670.589332,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,2677.191431,None,,,,,,,,,,,,,,,,,finance,aloud,white,15,34,129,2672.790078,None,2672.790078,None,6,2.1112135,2672.790078,None,2674.944106,None,2675.457583,None,2675.457583,None,r,1.692015015,2675.457583,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
