StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,168,0,168,0,,,,,,,,,,,,,,,,,,,,,,,,4422.915842,None,,,,,,,,,,,,,,,,,series,sing,yellow,168,12,279,4419.231395,None,4419.231395,None,3,2.24119879,4419.231395,None,4421.519203,None,4422.032264,None,4422.032264,None,f,0.840135473,4422.032264,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,169,0,169,0,,,,,,,,,,,,,,,,,,,,,,,,4425.499977,None,,,,,,,,,,,,,,,,,enemy,new_sing,yellow,169,113,113,4423.437996,None,4423.437996,None,1,1.129931175,4423.437996,None,4424.622588,None,4425.133082,None,4425.133082,None,n,0.323381155,4425.133082,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,170,0,170,0,,,,,,,,,,,,,,,,,,,,,,,,4427.51862,None,,,,,,,,,,,,,,,,,public,new_aloud,red,170,147,244,4426.019291,None,4426.019291,None,1,0.884382707,4426.019291,None,4426.967004,None,4427.467103,None,4427.467103,None,n,0.021175215,4427.467103,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,171,0,171,0,,,,,,,,,,,,,,,,,,,,,,,,4430.401507,None,,,,,,,,,,,,,,,,,fellow,new_sing,yellow,171,112,126,4428.050781,None,4428.050781,None,1,0.844852756,4428.050781,None,4428.938308,None,4429.451059,None,4429.451059,None,n,0.908832155,4429.451059,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,172,0,172,0,,,,,,,,,,,,,,,,,,,,,,,,4432.835598,None,,,,,,,,,,,,,,,,,session,new_sing,yellow,172,107,281,4430.918186,None,4430.918186,None,1,1.129202808,4430.918186,None,4432.090132,None,4432.602161,None,4432.602161,None,n,0.197178587,4432.602161,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,173,0,173,0,,,,,,,,,,,,,,,,,,,,,,,,4435.219646,None,,,,,,,,,,,,,,,,,revolution,new_aloud,red,173,122,264,4433.353589,None,4433.353589,None,1,1.054177228,4433.353589,None,4434.469307,None,4434.969496,None,4434.969496,None,n,0.206318323,4434.969496,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,174,0,174,0,,,,,,,,,,,,,,,,,,,,,,,,4441.821662,None,,,,,,,,,,,,,,,,,incident,new_sing,yellow,174,103,158,4435.736468,None,4435.736468,None,1,4.598465825,4435.736468,None,4440.373686,None,4440.887922,None,4440.887922,None,n,0.894941547,4440.887922,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,175,0,175,0,,,,,,,,,,,,,,,,,,,,,,,,4444.489144,None,,,,,,,,,,,,,,,,,reading,new_silent,blue,175,161,254,4442.338505,None,4442.338505,None,6,1.276540783,4442.338505,None,4443.66006,None,4444.17239,None,4444.17239,None,f,0.282380163,4444.17239,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,176,0,176,0,,,,,,,,,,,,,,,,,,,,,,,,4447.023249,None,,,,,,,,,,,,,,,,,population,silent,blue,176,89,227,4445.005971,None,4445.005971,None,1,1.328585157,4445.005971,None,4446.374511,None,4446.889869,None,4446.889869,None,n,0.084596055,4446.889869,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,177,0,177,0,,,,,,,,,,,,,,,,,,,,,,,,4449.590713,None,,,,,,,,,,,,,,,,,management,sing,yellow,177,9,177,4447.539945,None,4447.539945,None,1,1.139163901,4447.539945,None,4448.728622,None,4449.240613,None,4449.240613,None,n,0.301686255,4449.240613,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,178,0,178,0,,,,,,,,,,,,,,,,,,,,,,,,4452.058126,None,,,,,,,,,,,,,,,,,debate,new_sing,yellow,178,101,87,4450.110056,None,4450.110056,None,3,1.168127237,4450.110056,None,4451.327248,None,4451.841398,None,4451.841398,None,f,0.17335612,4451.841398,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,179,0,179,0,,,,,,,,,,,,,,,,,,,,,,,,4454.942349,None,,,,,,,,,,,,,,,,,breath,aloud,red,179,41,27,4452.57531,None,4452.57531,None,6,1.478799593,4452.57531,None,4454.099123,None,4454.608904,None,4454.608904,None,r,0.293468329,4454.608904,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455.442541,None,,,,,,
