StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,125,0,125,0,,,,,,,,,,,,,,,,,,,,,,,,1635.3962648999877,None,,,,,,,,,,,,,,,,,,number,sing,white,125,4,203,1630.8054637000896,None,1630.8054637000896,None,2,1.366999400081113,1630.8054637000896,None,1632.221354200039,None,1632.734766199952,None,1632.734766199952,None,f,2.6376436999998987,1632.734766199952,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,126,0,126,0,,,,,,,,,,,,,,,,,,,,,,,,1638.963194000069,None,,,,,,,,,,,,,,,,,,finish,new_c,white,126,176,130,1635.9207768000197,None,1635.9207768000197,None,1,1.0036751998122782,1635.9207768000197,None,1636.978089199867,None,1637.4971433999017,None,1637.4971433999017,None,f,1.4354618999641389,1637.4971433999017,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,127,0,127,0,,,,,,,,,,,,,,,,,,,,,,,,1641.3076482999604,None,,,,,,,,,,,,,,,,,,drove,new_c,white,127,159,106,1639.4879010999575,None,1639.4879010999575,None,1,0.9967527999542654,1639.4879010999575,None,1640.5246170999017,None,1641.0563234,None,1641.0563234,None,n,0.21284659998491406,1641.0563234,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,128,0,128,0,,,,,,,,,,,,,,,,,,,,,,,,1643.6704114000313,None,,,,,,,,,,,,,,,,,,voice,silent,white,128,84,348,1641.8359024999663,None,1641.8359024999663,None,3,0.8965934000443667,1641.8359024999663,None,1642.7746693000663,None,1643.3050442000385,None,1643.3050442000385,None,n,0.3473624000325799,1643.3050442000385,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,129,0,129,0,,,,,,,,,,,,,,,,,,,,,,,,1647.3891904000193,None,,,,,,,,,,,,,,,,,,question,aloud,white,129,50,247,1644.173852100037,None,1644.173852100037,None,1,1.8628577999770641,1644.173852100037,None,1646.0771639000159,None,1646.6010592000093,None,1646.6010592000093,None,f,0.7712185001000762,1646.6010592000093,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,,,,,,,1650.631211699918,None,,,,,,,,,,,,,,,,,,burden,new_b,white,130,146,36,1647.9184244000353,None,1647.9184244000353,None,3,1.3820269999559969,1647.9184244000353,None,1649.343984700041,None,1649.8695086999796,None,1649.8695086999796,None,n,0.7267604998778552,1649.8695086999796,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,,,,,,,1653.362315400038,None,,,,,,,,,,,,,,,,,,beauty,new_b,white,131,141,18,1651.1514971000142,None,1651.1514971000142,None,1,1.180988400010392,1651.1514971000142,None,1652.3773469999433,None,1652.90279130009,None,1652.90279130009,None,n,0.42173150018788874,1652.90279130009,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,,,,,,,1659.6832991999108,None,,,,,,,,,,,,,,,,,,sunset,sing,white,132,5,315,1653.8733924999833,None,1653.8733924999833,None,6,1.5871770000085235,1653.8733924999833,None,1655.5118756000884,None,1656.032141600037,None,1656.032141600037,None,r,3.6123303999193013,1656.032141600037,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,1664.3481077000033,None,,,,,,,,,,,,,,,,,,tragedy,new_a,white,133,90,335,1660.2085362998769,None,1660.2085362998769,None,1,3.515547899994999,1660.2085362998769,None,1663.759929599939,None,1664.2893479000777,None,1664.2893479000777,None,n,0.035083800088614225,1664.2893479000777,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,,,,,,,1667.5144652999006,None,,,,,,,,,,,,,,,,,,under,silent,white,134,63,343,1664.871962199919,None,1664.871962199919,None,1,0.9964737999252975,1664.871962199919,None,1665.9078327000607,None,1666.4355029000435,None,1666.4355029000435,None,f,1.0410113998223096,1666.4355029000435,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,135,0,135,0,,,,,,,,,,,,,,,,,,,,,,,,1670.4236475999933,None,,,,,,,,,,,,,,,,,,drink,new_c,white,135,165,105,1668.0401318999939,None,1668.0401318999939,None,1,1.7724304001312703,1668.0401318999939,None,1669.8619365000632,None,1670.3830931000412,None,1670.3830931000412,None,n,0.02108910004608333,1670.3830931000412,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,136,0,136,0,,,,,,,,,,,,,,,,,,,,,,,,1673.7396575999446,None,,,,,,,,,,,,,,,,,,victory,silent,white,136,83,346,1670.951154799899,None,1670.951154799899,None,4,1.3574461000971496,1670.951154799899,None,1672.3593802000396,None,1672.888060099911,None,1672.888060099911,None,f,0.8280861000530422,1672.888060099911,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,137,0,137,0,,,,,,,,,,,,,,,,,,,,,,,,1675.9844964998774,None,,,,,,,,,,,,,,,,,,fellow,aloud,white,137,43,126,1674.2419857000932,None,1674.2419857000932,None,2,0.8584463000297546,1674.2419857000932,None,1675.144566199975,None,1675.6683732999954,None,1675.6683732999954,None,n,0.2887011000420898,1675.6683732999954,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
