StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,,,,,,,2127.805469,None,,,,,,,,,,,,,,,,,drama,new_c,white,132,164,103,2125.864417,None,2125.864417,None,2,1.2755947,2125.864417,None,2127.179167,None,2127.680122,None,2127.680122,None,f,0.1000115,2127.680122,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,2130.571827,None,,,,,,,,,,,,,,,,,birth,new_a,white,133,98,22,2128.33095,None,2128.33095,None,1,1.1688684,2128.33095,None,2129.539471,None,2130.05957,None,2130.05957,None,f,0.4725547,2130.05957,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,,,,,,,2133.062511,None,,,,,,,,,,,,,,,,,article,silent,white,134,65,11,2131.098129,None,2131.098129,None,6,1.2176493,2131.098129,None,2132.35464,None,2132.861772,None,2132.861772,None,n,0.1821857,2132.861772,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,135,0,135,0,,,,,,,,,,,,,,,,,,,,,,,,2135.80604,None,,,,,,,,,,,,,,,,,property,new_c,white,135,179,242,2133.57765,None,2133.57765,None,5,1.6184922,2133.57765,None,2135.236595,None,2135.759733,None,2135.759733,None,r,0.0207025,2135.759733,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,136,0,136,0,,,,,,,,,,,,,,,,,,,,,,,,2138.607126,None,,,,,,,,,,,,,,,,,message,new_a,white,136,100,189,2136.331352,None,2136.331352,None,3,1.1523829,2136.331352,None,2137.521358,None,2138.043134,None,2138.043134,None,f,0.5372015,2138.043134,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,137,0,137,0,,,,,,,,,,,,,,,,,,,,,,,,2142.296094,None,,,,,,,,,,,,,,,,,passage,new_c,white,137,162,212,2139.134855,None,2139.134855,None,2,2.1813556,2139.134855,None,2141.37725,None,2141.883537,None,2141.883537,None,f,0.3843512,2141.883537,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,138,0,138,0,,,,,,,,,,,,,,,,,,,,,,,,2144.991201,None,,,,,,,,,,,,,,,,,republic,new_b,white,138,126,260,2142.798287,None,2142.798287,None,1,1.0694683,2142.798287,None,2143.902691,None,2144.430443,None,2144.430443,None,n,0.5176531,2144.430443,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,,,,,,,2148.752283,None,,,,,,,,,,,,,,,,,vision,aloud,white,139,34,347,2145.514704,None,2145.514704,None,6,1.0573524,2145.514704,None,2146.613353,None,2147.132501,None,2147.132501,None,r,1.5913191,2147.132501,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,140,0,140,0,,,,,,,,,,,,,,,,,,,,,,,,2152.023717,None,,,,,,,,,,,,,,,,,drove,new_b,white,140,124,106,2149.275802,None,2149.275802,None,3,1.1922915,2149.275802,None,2150.521174,None,2151.042635,None,2151.042635,None,n,0.9453476,2151.042635,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,,,,,,,2155.705853,None,,,,,,,,,,,,,,,,,crime,sing,white,141,10,78,2152.543294,None,2152.543294,None,5,2.1648195,2152.543294,None,2154.751538,None,2155.269588,None,2155.269588,None,r,0.3983812,2155.269588,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
