StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,1176.790563999908,None,,,,,,,,,,,,,,,,,junior,silent,blue,97,65,167,1171.9680037000217,None,1171.9680037000217,None,3,3.06118610012345,1171.9680037000217,None,1175.0673980999272,None,1175.5779514999595,None,1175.5779514999595,None,f,1.1790881000924855,1175.5779514999595,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,1181.6017950000241,None,,,,,,,,,,,,,,,,,symbol,new_silent,blue,98,174,321,1177.3194303000346,None,1177.3194303000346,None,3,3.3737241998314857,1177.3194303000346,None,1180.7427013998386,None,1181.266445899848,None,1181.266445899848,None,f,0.3143734000623226,1181.266445899848,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,1185.6903478999157,None,,,,,,,,,,,,,,,,,staff,new_aloud,red,99,144,301,1182.1150911999866,None,1182.1150911999866,None,1,2.6503452998586,1182.1150911999866,None,1184.8064049000386,None,1185.326432300033,None,1185.326432300033,None,f,0.326626299880445,1185.326432300033,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,1189.1595035998616,None,,,,,,,,,,,,,,,,,instrument,new_aloud,red,100,135,163,1186.231384200044,None,1186.231384200044,None,1,1.933824999956414,1186.231384200044,None,1188.209068399854,None,1188.732268200023,None,1188.732268200023,None,f,0.3928382000885904,1188.732268200023,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,1192.9918921999633,None,,,,,,,,,,,,,,,,,expansion,aloud,red,101,34,123,1189.6825379999354,None,1189.6825379999354,None,6,2.6744921000208706,1189.6825379999354,None,1192.408260300057,None,1192.9326897999272,None,1192.9326897999272,None,f,0.024674999993294477,1192.9326897999272,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,1196.8262640999164,None,,,,,,,,,,,,,,,,,conference,new_sing,yellow,102,92,66,1193.5193163000513,None,1193.5193163000513,None,6,2.5737626999616623,1193.5193163000513,None,1196.135614000028,None,1196.6635900998954,None,1196.6635900998954,None,f,0.13379049999639392,1196.6635900998954,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,1200.1592526000459,None,,,,,,,,,,,,,,,,,judge,silent,blue,103,80,166,1197.3549248999916,None,1197.3549248999916,None,3,1.7222305000759661,1197.3549248999916,None,1199.127952199895,None,1199.6515724998899,None,1199.6515724998899,None,f,0.4816147000528872,1199.6515724998899,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,1210.0758344999049,None,,,,,,,,,,,,,,,,,threat,new_silent,blue,104,162,329,1200.6860372000374,None,1200.6860372000374,None,6,8.550990900024772,1200.6860372000374,None,1209.29087659996,None,1209.8120196000673,None,1209.8120196000673,None,f,0.22518420009873807,1209.8120196000673,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,1213.4595979000442,None,,,,,,,,,,,,,,,,,birth,new_aloud,red,105,148,22,1210.6013731998391,None,1210.6013731998391,None,1,2.011677499860525,1210.6013731998391,None,1212.642172300024,None,1213.1541349999607,None,1213.1541349999607,None,f,0.26697829994373024,1213.1541349999607,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,1217.9810327999294,None,,,,,,,,,,,,,,,,,empty,new_silent,blue,106,157,112,1213.9823536998592,None,1213.9823536998592,None,3,2.99870719993487,1213.9823536998592,None,1217.0273986000102,None,1217.547445199918,None,1217.547445199918,None,f,0.3937504000496119,1217.547445199918,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,1222.3195257000625,None,,,,,,,,,,,,,,,,,husband,new_aloud,red,107,149,156,1218.5099865999073,None,1218.5099865999073,None,1,2.887138199992478,1218.5099865999073,None,1221.451460900018,None,1221.9650322999805,None,1221.9650322999805,None,f,0.327896700007841,1221.9650322999805,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,1229.1112732000183,None,,,,,,,,,,,,,,,,,medicine,new_silent,blue,108,171,186,1222.8354586998466,None,1222.8354586998466,None,6,5.3137475999537855,1222.8354586998466,None,1228.19095869991,None,1228.7093243000563,None,1228.7093243000563,None,f,0.3759693999309093,1228.7093243000563,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,1235.7451626998372,None,,,,,,,,,,,,,,,,,citizen,sing,yellow,109,15,50,1229.6366163999774,None,1229.6366163999774,None,6,5.448798400117084,1229.6366163999774,None,1235.1304134000093,None,1235.6373186998535,None,1235.6373186998535,None,f,0.07155720004811883,1235.6373186998535,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
