StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,keyWelcome.keys,keyWelcome.rt,keyReady.keys,keyReady.rt,studyPic,studyWord,studyType,studyN,studyOrder,kPress2.keys,kPress2.rt,testWord,testType,testN,testOrder,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
27,0,27,0,,,,,,,,,materials/readPic.jpg,machinery,A_silent,27,175,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
28,0,28,0,,,,,,,,,materials/speakPic.jpg,cousin,B_aloud,28,76,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
29,0,29,0,,,,,,,,,materials/singPic.jpg,build,C_sing,29,35,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
30,0,30,0,,,,,,,,,materials/singPic.jpg,command,C_sing,30,60,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
31,0,31,0,,,,,,,,,materials/singPic.jpg,mayor,C_sing,31,183,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
32,0,32,0,,,,,,,,,materials/speakPic.jpg,native,B_aloud,32,199,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
33,0,33,0,,,,,,,,,materials/speakPic.jpg,principal,B_aloud,33,236,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
34,0,34,0,,,,,,,,,materials/readPic.jpg,sight,A_silent,34,286,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
35,0,35,0,,,,,,,,,materials/speakPic.jpg,express,B_aloud,35,124,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
36,0,36,0,,,,,,,,,materials/speakPic.jpg,career,B_aloud,36,42,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
37,0,37,0,,,,,,,,,materials/singPic.jpg,listen,C_sing,37,172,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
38,0,38,0,,,,,,,,,materials/speakPic.jpg,throw,B_aloud,38,330,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
39,0,39,0,,,,,,,,,materials/speakPic.jpg,cover,B_aloud,39,77,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
40,0,40,0,,,,,,,,,materials/readPic.jpg,range,A_silent,40,251,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
41,0,41,0,,,,,,,,,materials/readPic.jpg,incident,A_silent,41,158,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
42,0,42,0,,,,,,,,,materials/singPic.jpg,suggestion,C_sing,42,314,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
43,0,43,0,,,,,,,,,materials/singPic.jpg,carry,C_sing,43,43,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
44,0,44,0,,,,,,,,,materials/speakPic.jpg,running,B_aloud,44,268,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
45,0,45,0,,,,,,,,,materials/readPic.jpg,strength,A_silent,45,310,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
46,0,46,0,,,,,,,,,materials/readPic.jpg,display,A_silent,46,98,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
47,0,47,0,,,,,,,,,materials/speakPic.jpg,contract,B_aloud,47,68,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
48,0,48,0,,,,,,,,,materials/readPic.jpg,marriage,A_silent,48,179,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
49,0,49,0,,,,,,,,,materials/speakPic.jpg,measure,B_aloud,49,184,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
50,0,50,0,,,,,,,,,materials/singPic.jpg,close,C_sing,50,53,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
51,0,51,0,,,,,,,,,materials/readPic.jpg,expansion,A_silent,51,123,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
52,0,52,0,,,,,,,,,materials/readPic.jpg,count,A_silent,52,72,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
53,0,53,0,,,,,,,,,materials/speakPic.jpg,reach,B_aloud,53,253,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
54,0,54,0,,,,,,,,,materials/speakPic.jpg,drink,B_aloud,54,105,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
55,0,55,0,,,,,,,,,materials/readPic.jpg,title,A_silent,55,331,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
56,0,56,0,,,,,,,,,materials/singPic.jpg,music,C_sing,56,196,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
57,0,57,0,,,,,,,,,materials/singPic.jpg,short,C_sing,57,285,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
58,0,58,0,,,,,,,,,materials/readPic.jpg,primary,A_silent,58,234,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
59,0,59,0,,,,,,,,,materials/singPic.jpg,force,C_sing,59,131,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
60,0,60,0,,,,,,,,,materials/speakPic.jpg,broad,B_aloud,60,31,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
61,0,61,0,,,,,,,,,materials/speakPic.jpg,council,B_aloud,61,71,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
62,0,62,0,,,,,,,,,materials/speakPic.jpg,bitter,B_aloud,62,23,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
63,0,63,0,,,,,,,,,materials/speakPic.jpg,institute,B_aloud,63,162,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
64,0,64,0,,,,,,,,,materials/speakPic.jpg,message,B_aloud,64,189,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
65,0,65,0,,,,,,,,,materials/singPic.jpg,patient,C_sing,65,213,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
66,0,66,0,,,,,,,,,materials/readPic.jpg,brief,A_silent,66,28,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
67,0,67,0,,,,,,,,,materials/singPic.jpg,resistance,C_sing,67,262,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
68,0,68,0,,,,,,,,,materials/readPic.jpg,crowd,A_silent,68,81,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
69,0,69,0,,,,,,,,,materials/singPic.jpg,beginning,C_sing,69,19,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
70,0,70,0,,,,,,,,,materials/speakPic.jpg,atmosphere,B_aloud,70,12,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
71,0,71,0,,,,,,,,,materials/readPic.jpg,account,A_silent,71,1,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
72,0,72,0,,,,,,,,,materials/readPic.jpg,committee,A_silent,72,62,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
73,0,73,0,,,,,,,,,materials/singPic.jpg,school,C_sing,73,274,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
74,0,74,0,,,,,,,,,materials/readPic.jpg,poetry,A_silent,74,225,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
75,0,75,0,,,,,,,,,materials/readPic.jpg,victory,A_silent,75,346,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
76,0,76,0,,,,,,,,,materials/speakPic.jpg,collection,B_aloud,76,54,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
77,0,77,0,,,,,,,,,materials/speakPic.jpg,still,B_aloud,77,304,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
78,0,78,0,,,,,,,,,materials/readPic.jpg,block,A_silent,78,25,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
79,0,79,0,,,,,,,,,materials/readPic.jpg,season,A_silent,79,277,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
80,0,80,0,,,,,,,,,materials/speakPic.jpg,voice,B_aloud,80,348,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
81,0,81,0,,,,,,,,,materials/readPic.jpg,order,A_silent,81,207,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
82,0,82,0,,,,,,,,,materials/singPic.jpg,meeting,C_sing,82,187,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
83,0,83,0,,,,,,,,,materials/speakPic.jpg,review,B_aloud,83,263,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
84,0,84,0,,,,,,,,,materials/singPic.jpg,charter,C_sing,84,47,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
85,0,85,0,,,,,,,,,materials/singPic.jpg,split,C_sing,85,299,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
86,0,86,0,,,,,,,,,materials/singPic.jpg,surprise,C_sing,86,317,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
87,0,87,0,,,,,,,,,materials/speakPic.jpg,smooth,B_aloud,87,292,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
88,0,88,0,,,,,,,,,materials/readPic.jpg,union,A_silent,88,344,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
89,0,89,0,,,,,,,,,materials/singPic.jpg,grade,C_sing,89,140,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,,,,,,,,,,,,,,k,71.2388404,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,,,,,,,space,5.5517329,,,,,,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,0,0,0,0,,,,,,,,,,,,hearing,A_silent,0,150,2,5.0171672,f,2.0908061,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,1,0,1,0,,,,,,,,,,,,article,D_new,1,11,2,3.6786464,f,1.4589335,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,2,0,2,0,,,,,,,,,,,,crowd,A_silent,2,81,3,3.8862885,f,0.7529793,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,3,0,3,0,,,,,,,,,,,,mayor,C_sing,3,183,3,5.7212196,f,0.8390599,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,4,0,4,0,,,,,,,,,,,,emergency,B_aloud,4,110,6,2.3973554,r,1.1299801,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,5,0,5,0,,,,,,,,,,,,bitter,B_aloud,5,23,6,1.5618523,r,0.4894772,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,6,0,6,0,,,,,,,,,,,,congress,D_new,6,67,2,3.8062774,f,0.7545563,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,7,0,7,0,,,,,,,,,,,,harmony,D_new,7,148,3,2.9484224,f,0.5504632,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,8,0,8,0,,,,,,,,,,,,touch,A_silent,8,332,3,2.6101194,f,0.4738023,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,9,0,9,0,,,,,,,,,,,,majority,D_new,9,176,5,3.828737,r,1.5850765,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,10,0,10,0,,,,,,,,,,,,brief,A_silent,10,28,3,4.6840127,f,0.2926779,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,11,0,11,0,,,,,,,,,,,,display,A_silent,11,98,1,3.4493988,f,0.4333303,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,12,0,12,0,,,,,,,,,,,,debate,D_new,12,87,2,1.7316796,f,0.1484478,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,13,0,13,0,,,,,,,,,,,,season,A_silent,13,277,2,8.7617524,f,0.2946606,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,14,0,14,0,,,,,,,,,,,,degree,D_new,14,89,3,7.5154111,f,0.1107121,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,15,0,15,0,,,,,,,,,,,,drama,B_aloud,15,103,5,1.4912947,r,0.5504904,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,16,0,16,0,,,,,,,,,,,,portion,B_aloud,16,228,4,2.2090867,r,0.4265097,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,17,0,17,0,,,,,,,,,,,,quick,D_new,17,248,2,1.9852016,f,0.8952846,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,18,0,18,0,,,,,,,,,,,,smooth,B_aloud,18,292,4,7.3251064,r,0.438529,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,19,0,19,0,,,,,,,,,,,,oxygen,A_silent,19,209,2,1.3548118,f,0.9753578,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,20,0,20,0,,,,,,,,,,,,recall,D_new,20,255,2,1.8954637,f,0.3590976,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,21,0,21,0,,,,,,,,,,,,design,D_new,21,91,3,2.2204291,f,0.5387752,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,22,0,22,0,,,,,,,,,,,,history,B_aloud,22,153,4,3.2797735,r,0.2945717,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,23,0,23,0,,,,,,,,,,,,staff,D_new,23,301,1,1.6426922,f,0.266637,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,24,0,24,0,,,,,,,,,,,,research,D_new,24,261,2,4.7613024,f,0.4432186,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,25,0,25,0,,,,,,,,,,,,religion,D_new,25,258,1,1.8357723,f,0.3570825,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,26,0,26,0,,,,,,,,,,,,generation,D_new,26,136,1,1.2983585,f,0.3312924,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,27,0,27,0,,,,,,,,,,,,shape,B_aloud,27,282,3,5.0616991,f,0.7668286,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,28,0,28,0,,,,,,,,,,,,couch,D_new,28,70,3,4.5785832,f,0.3151478,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,29,0,29,0,,,,,,,,,,,,listen,C_sing,29,172,4,3.6162823,r,0.4503558,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,30,0,30,0,,,,,,,,,,,,worker,D_new,30,356,1,2.4150549,f,0.4656207,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,31,0,31,0,,,,,,,,,,,,smell,D_new,31,291,1,1.4335346,f,0.100864,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,32,0,32,0,,,,,,,,,,,,incident,A_silent,32,158,2,6.2883928,f,0.5457458,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,33,0,33,0,,,,,,,,,,,,salary,C_sing,33,271,6,2.1638899,r,0.0775482,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,34,0,34,0,,,,,,,,,,,,budget,D_new,34,34,1,1.8293179,f,1.0081823,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,35,0,35,0,,,,,,,,,,,,mechanical,D_new,35,185,1,3.9620259,f,0.1012597,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,36,0,36,0,,,,,,,,,,,,voice,B_aloud,36,348,6,1.9414533,r,0.7331384,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,37,0,37,0,,,,,,,,,,,,background,D_new,37,16,3,2.3439017,f,0.0621601,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,38,0,38,0,,,,,,,,,,,,shear,C_sing,38,283,2,2.7172714,f,0.0622286,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,39,0,39,0,,,,,,,,,,,,dream,D_new,39,104,3,3.2669907,f,0.5158304,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,40,0,40,0,,,,,,,,,,,,cover,B_aloud,40,77,4,5.2116186,f,0.4785351,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,41,0,41,0,,,,,,,,,,,,silence,D_new,41,288,3,8.6221249,f,0.4296332,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,42,0,42,0,,,,,,,,,,,,block,A_silent,42,25,4,3.0469458,f,0.1617242,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,43,0,43,0,,,,,,,,,,,,guest,D_new,43,146,4,2.4966381,f,2.001448,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,44,0,44,0,,,,,,,,,,,,brilliant,D_new,44,30,1,1.2542146,f,0.5919666,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,45,0,45,0,,,,,,,,,,,,measure,B_aloud,45,184,1,1.4751448,f,0.6051068,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,46,0,46,0,,,,,,,,,,,,primary,A_silent,46,234,2,3.5933283,f,0.4948632,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,47,0,47,0,,,,,,,,,,,,contract,B_aloud,47,68,5,1.8151746,r,0.2823708,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,48,0,48,0,,,,,,,,,,,,scene,B_aloud,48,273,4,3.1432607,f,0.4950471,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,49,0,49,0,,,,,,,,,,,,command,C_sing,49,60,2,2.2204507,f,0.0762801000001,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,50,0,50,0,,,,,,,,,,,,benefit,D_new,50,20,2,8.366226,f,0.8901714,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,51,0,51,0,,,,,,,,,,,,course,A_silent,51,74,5,1.7583689,r,0.4501978,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,52,0,52,0,,,,,,,,,,,,nation,D_new,52,198,2,1.6561683,f,0.6038994,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,53,0,53,0,,,,,,,,,,,,problem,C_sing,53,238,2,6.357281,f,0.0728761999999,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,54,0,54,0,,,,,,,,,,,,write,D_new,54,358,4,5.9242315,f,0.6174427,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,55,0,55,0,,,,,,,,,,,,mankind,A_silent,55,178,1,1.2489118,f,0.0803717000001,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
