StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,129,0,129,0,,,,,,,,,,,,,1656.1078152018454,None,,,,,,,,,,,,,,,,,,,,,,question,A_silent,129,247,1653.0440825402766,None,1653.0440825402766,None,1653.0440825402766,None,6,1.774940598377725,1653.0440825402766,None,1654.874336318957,None,1654.874336318957,None,1655.3930120669247,None,1655.3930120669247,None,1655.3930120669247,None,r,0.6818420725176111,1655.3930120669247,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,130,0,130,0,,,,,,,,,,,,,1659.4088635939552,None,,,,,,,,,,,,,,,,,,,,,,rough,A_silent,130,266,1656.6283230702247,None,1656.6283230702247,None,1656.6283230702247,None,1,1.4550786838226486,1656.6283230702247,None,1658.1417148721812,None,1658.1417148721812,None,1658.6586527337204,None,1658.6586527337204,None,1658.6586527337204,None,n,0.7038237855304033,1658.6586527337204,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,131,0,131,0,,,,,,,,,,,,,1663.4099860048445,None,,,,,,,,,,,,,,,,,,,,,,position,C_sing,131,229,1659.925966598239,None,1659.925966598239,None,1659.925966598239,None,6,1.6768912110564997,1659.925966598239,None,1661.6480916837754,None,1661.6480916837754,None,1662.176362194441,None,1662.176362194441,None,1662.176362194441,None,r,1.1860499471222283,1662.176362194441,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,132,0,132,0,,,,,,,,,,,,,1667.3111765254725,None,,,,,,,,,,,,,,,,,,,,,,minute,B_aloud,132,192,1663.9267997760762,None,1663.9267997760762,None,1663.9267997760762,None,6,2.7474270697275642,1663.9267997760762,None,1666.7172634819872,None,1666.7172634819872,None,1667.2446068918362,None,1667.2446068918362,None,1667.2446068918362,None,r,0.029540337127400562,1667.2446068918362,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,133,0,133,0,,,,,,,,,,,,,1670.3622728120827,None,,,,,,,,,,,,,,,,,,,,,,minor,D_new,133,191,1667.8281389562762,None,1667.8281389562762,None,1667.8281389562762,None,2,1.374672513527912,1667.8281389562762,None,1669.2618753498828,None,1669.2618753498828,None,1669.778705293269,None,1669.778705293269,None,1669.778705293269,None,f,0.5352677738410421,1669.778705293269,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,134,0,134,0,,,,,,,,,,,,,1673.0463040368195,None,,,,,,,,,,,,,,,,,,,,,,broke,D_new,134,32,1670.863072712571,None,1670.863072712571,None,1670.863072712571,None,1,1.3235955091076903,1670.863072712571,None,1672.2322208745318,None,1672.2322208745318,None,1672.746194874664,None,1672.746194874664,None,1672.746194874664,None,n,0.2637195994320791,1672.746194874664,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,135,0,135,0,,,,,,,,,,,,,1677.1809410959686,None,,,,,,,,,,,,,,,,,,,,,,piece,B_aloud,135,221,1673.5635939540953,None,1673.5635939540953,None,1673.5635939540953,None,6,2.4379172109183855,1673.5635939540953,None,1676.0512545872916,None,1676.0512545872916,None,1676.5807243266754,None,1676.5807243266754,None,1676.5807243266754,None,r,0.5649965789634734,1676.5807243266754,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,136,0,136,0,,,,,,,,,,,,,1680.4819325744756,None,,,,,,,,,,,,,,,,,,,,,,enemy,A_silent,136,113,1677.6979548423114,None,1677.6979548423114,None,1677.6979548423114,None,4,2.05557100205624,1677.6979548423114,None,1679.8151897120115,None,1679.8151897120115,None,1680.3318946320796,None,1680.3318946320796,None,1680.3318946320796,None,f,0.1097390682407422,1680.3318946320796,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,137,0,137,0,,,,,,,,,,,,,1684.2999098090368,None,,,,,,,,,,,,,,,,,,,,,,group,C_sing,137,143,1680.9991083535424,None,1680.9991083535424,None,1680.9991083535424,None,6,2.050476768054068,1680.9991083535424,None,1683.0994734714186,None,1683.0994734714186,None,1683.6163625054323,None,1683.6163625054323,None,1683.6163625054323,None,r,0.6416265472362284,1683.6163625054323,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,138,0,138,0,,,,,,,,,,,,,1688.9846065808233,None,,,,,,,,,,,,,,,,,,,,,,quiet,A_silent,138,249,1684.818377184798,None,1684.818377184798,None,1684.818377184798,None,5,2.8785081171808997,1684.818377184798,None,1687.7509078186267,None,1687.7509078186267,None,1688.2677589102386,None,1688.2677589102386,None,1688.2677589102386,None,r,0.6690306027157931,1688.2677589102386,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
