StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,participant,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,,session,date,expName,psychopyVersion,frameRate
,,,,,,,,14.27266934,None,space,2.703811967,14.27266934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,,,,,,,,,,,17.00263886,None,space,12.4291379,17.00263886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
0,0,0,0,,,,,,,,,,,,,,,,,34.24133203,None,materials/readPic.jpg,medicine,A_silent,0,186,30.57368321,None,30.57368321,None,31.49229116,None,31.7571848,None,31.7571848,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
1,0,1,0,,,,,,,,,,,,,,,,,38.50932201,None,materials/readPic.jpg,blind,A_silent,1,24,34.81646203,None,34.81646203,None,35.75863843,None,36.0251017,None,36.0251017,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
2,0,2,0,,,,,,,,,,,,,,,,,42.7773036,None,materials/speakPic.jpg,taste,B_aloud,2,322,39.14399888,None,39.14399888,None,40.02657585,None,40.29312403,None,40.29312403,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
3,0,3,0,,,,,,,,,,,,,,,,,47.04530354,None,materials/speakPic.jpg,commercial,B_aloud,3,61,43.35146451,None,43.35146451,None,44.29458885,None,44.56106612,None,44.56106612,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
4,0,4,0,,,,,,,,,,,,,,,,,51.31331778,None,materials/readPic.jpg,science,A_silent,4,275,47.67978852,None,47.67978852,None,48.56254929,None,48.82907788,None,48.82907788,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
5,0,5,0,,,,,,,,,,,,,,,,,55.58129937,None,materials/readPic.jpg,council,A_silent,5,71,51.90051409,None,51.90051409,None,52.83053524,None,53.09709741,None,53.09709741,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
6,0,6,0,,,,,,,,,,,,,,,,,59.84922964,None,materials/speakPic.jpg,danger,B_aloud,6,85,56.20194657,None,56.20194657,None,57.09862505,None,57.36546775,None,57.36546775,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
7,0,7,0,,,,,,,,,,,,,,,,,64.1173574,None,materials/readPic.jpg,question,A_silent,7,247,60.45036947,None,60.45036947,None,61.36758941,None,61.63342632,None,61.63342632,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
8,0,8,0,,,,,,,,,,,,,,,,,68.38521273,None,materials/singPic.jpg,collection,C_sing,8,54,64.72452883,None,64.72452883,None,65.6344996,None,65.90101947,None,65.90101947,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
9,0,9,0,,,,,,,,,,,,,,,,,72.65325341,None,materials/speakPic.jpg,history,B_aloud,9,153,68.98655377,None,68.98655377,None,69.90255209,None,70.16902252,None,70.16902252,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
10,0,10,0,,,,,,,,,,,,,,,,,76.92154133,None,materials/speakPic.jpg,pretty,B_aloud,10,233,73.22720843,None,73.22720843,None,74.17048734,None,74.43701686,None,74.43701686,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
11,0,11,0,,,,,,,,,,,,,,,,,81.18920663,None,materials/speakPic.jpg,stranger,B_aloud,11,309,77.48826927,None,77.48826927,None,78.43853331,None,78.70499129,None,78.70499129,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
12,0,12,0,,,,,,,,,,,,,,,,,85.45720035,None,materials/speakPic.jpg,court,B_aloud,12,75,81.7723036,None,81.7723036,None,82.70645736,None,82.97298221,None,82.97298221,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
13,0,13,0,,,,,,,,,,,,,,,,,89.72513498,None,materials/speakPic.jpg,husband,B_aloud,13,156,86.02934067,None,86.02934067,None,86.9744744,None,87.24098433,None,87.24098433,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
14,0,14,0,,,,,,,,,,,,,,,,,93.99318219,None,materials/singPic.jpg,error,C_sing,14,117,90.360065,None,90.360065,None,91.2434652,None,91.50896032,None,91.50896032,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
15,0,15,0,,,,,,,,,,,,,,,,,98.26117653,None,materials/singPic.jpg,interview,C_sing,15,165,94.57624868,None,94.57624868,None,95.51041923,None,95.77695341,None,95.77695341,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
16,0,16,0,,,,,,,,,,,,,,,,,102.5291329,None,materials/singPic.jpg,education,C_sing,16,108,98.8498672,None,98.8498672,None,99.77846302,None,100.0449462,None,100.0449462,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
17,0,17,0,,,,,,,,,,,,,,,,,106.7971282,None,materials/singPic.jpg,carry,C_sing,17,43,103.1122644,None,103.1122644,None,104.0464194,None,104.312929,None,104.312929,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
18,0,18,0,,,,,,,,,,,,,,,,,111.0651966,None,materials/singPic.jpg,recall,C_sing,18,255,107.3802992,None,107.3802992,None,108.314503,None,108.5809302,None,108.5809302,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
19,0,19,0,,,,,,,,,,,,,,,,,115.3331212,None,materials/speakPic.jpg,region,B_aloud,19,256,111.6570228,None,111.6570228,None,112.5824044,None,112.8488935,None,112.8488935,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
20,0,20,0,,,,,,,,,,,,,,,,,119.6011115,None,materials/speakPic.jpg,write,B_aloud,20,358,115.9161971,None,115.9161971,None,116.8504049,None,117.1168825,None,117.1168825,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
21,0,21,0,,,,,,,,,,,,,,,,,123.8691065,None,materials/speakPic.jpg,payment,B_aloud,21,215,120.1712462,None,120.1712462,None,121.11845,None,121.3848299,None,121.3848299,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
22,0,22,0,,,,,,,,,,,,,,,,,128.1370722,None,materials/speakPic.jpg,produce,B_aloud,22,239,124.4392598,None,124.4392598,None,125.3865507,None,125.6528503,None,125.6528503,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
23,0,23,0,,,,,,,,,,,,,,,,,132.4051213,None,materials/speakPic.jpg,heavy,B_aloud,23,151,128.7202046,None,128.7202046,None,129.65449,None,129.920854,None,129.920854,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
24,0,24,0,,,,,,,,,,,,,,,,,136.6730684,None,materials/readPic.jpg,cross,A_silent,24,80,133.040618,None,133.040618,None,133.9223938,None,134.1888614,None,134.1888614,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
25,0,25,0,,,,,,,,,,,,,,,,,140.9410434,None,materials/singPic.jpg,number,C_sing,25,203,137.2909165,None,137.2909165,None,138.1903493,None,138.4568219,None,138.4568219,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
26,0,26,0,,,,,,,,,,,,,,,,,145.2090434,None,materials/readPic.jpg,command,A_silent,26,60,141.5423764,None,141.5423764,None,142.4591777,None,142.7171372,None,142.7171372,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
27,0,27,0,,,,,,,,,,,,,,,,,149.4770414,None,materials/singPic.jpg,primary,C_sing,27,234,145.8275431,None,145.8275431,None,146.7263575,None,146.9928074,None,146.9928074,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
28,0,28,0,,,,,,,,,,,,,,,,,153.7450339,None,materials/speakPic.jpg,pancakes,B_aloud,28,210,150.1021148,None,150.1021148,None,150.9956046,None,151.260789,None,151.260789,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
29,0,29,0,,,,,,,,,,,,,,,,,158.0130202,None,materials/singPic.jpg,thick,C_sing,29,327,154.3962652,None,154.3962652,None,155.2623083,None,155.5287852,None,155.5287852,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
30,0,30,0,,,,,,,,,,,,,,,,,162.2810073,None,materials/readPic.jpg,empty,A_silent,30,112,158.6479965,None,158.6479965,None,159.5302986,None,159.7968079,None,159.7968079,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
31,0,31,0,,,,,,,,,,,,,,,,,166.5489784,None,materials/singPic.jpg,harmony,C_sing,31,148,162.8896327,None,162.8896327,None,163.798348,None,164.0647493,None,164.0647493,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
32,0,32,0,,,,,,,,,,,,,,,,,170.8169777,None,materials/readPic.jpg,contract,A_silent,32,68,167.150622,None,167.150622,None,168.0662913,None,168.3327446,None,168.3327446,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
33,0,33,0,,,,,,,,,,,,,,,,,175.0849434,None,materials/singPic.jpg,victory,C_sing,33,346,171.420385,None,171.420385,None,172.3342626,None,172.6007271,None,172.6007271,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
34,0,34,0,,,,,,,,,,,,,,,,,179.352934,None,materials/readPic.jpg,nature,A_silent,34,200,175.6903679,None,175.6903679,None,176.6022737,None,176.8687345,None,176.8687345,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
35,0,35,0,,,,,,,,,,,,,,,,,183.6209315,None,materials/readPic.jpg,defeat,A_silent,35,88,179.9360773,None,179.9360773,None,180.8702504,None,181.1366887,None,181.1366887,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
36,0,36,0,,,,,,,,,,,,,,,,,187.8889115,None,materials/singPic.jpg,resistance,C_sing,36,262,184.2253872,None,184.2253872,None,185.1382285,None,185.4046308,None,185.4046308,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
37,0,37,0,,,,,,,,,,,,,,,,,192.1568819,None,materials/readPic.jpg,crowd,A_silent,37,81,188.490618,None,188.490618,None,189.4062263,None,189.6729539,None,189.6729539,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
38,0,38,0,,,,,,,,,,,,,,,,,196.4249129,None,materials/singPic.jpg,marriage,C_sing,38,179,192.7749583,None,192.7749583,None,193.674239,None,193.940669,None,193.940669,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
39,0,39,0,,,,,,,,,,,,,,,,,200.6928619,None,materials/singPic.jpg,trial,C_sing,39,341,197.01155,None,197.01155,None,197.9421671,None,198.2086599,None,198.2086599,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
40,0,40,0,,,,,,,,,,,,,,,,,204.960864,None,materials/singPic.jpg,design,C_sing,40,91,201.2759877,None,201.2759877,None,202.2102202,None,202.4766032,None,202.4766032,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
41,0,41,0,,,,,,,,,,,,,,,,,209.2288676,None,materials/readPic.jpg,position,A_silent,41,229,205.5625154,None,205.5625154,None,206.4782232,None,206.7446355,None,206.7446355,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
42,0,42,0,,,,,,,,,,,,,,,,,213.4968393,None,materials/singPic.jpg,under,C_sing,42,343,209.8469565,None,209.8469565,None,210.7461775,None,211.012627,None,211.012627,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
43,0,43,0,,,,,,,,,,,,,,,,,217.7648479,None,materials/readPic.jpg,suspect,A_silent,43,318,214.0985423,None,214.0985423,None,215.0141566,None,215.2805831,None,215.2805831,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
44,0,44,0,,,,,,,,,,,,,,,,,222.0328108,None,materials/speakPic.jpg,store,B_aloud,44,305,218.3860459,None,218.3860459,None,219.2821876,None,219.5486163,None,219.5486163,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
45,0,45,0,,,,,,,,,,,,,,,,,226.3007887,None,materials/speakPic.jpg,trash,B_aloud,45,337,222.6159423,None,222.6159423,None,223.5501362,None,223.8165802,None,223.8165802,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
46,0,46,0,,,,,,,,,,,,,,,,,230.5687939,None,materials/readPic.jpg,accident,A_silent,46,0,226.9020467,None,226.9020467,None,227.8181533,None,228.0846411,None,228.0846411,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
47,0,47,0,,,,,,,,,,,,,,,,,234.8367976,None,materials/speakPic.jpg,literature,B_aloud,47,173,231.1579822,None,231.1579822,None,232.086319,None,232.3528902,None,232.3528902,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
48,0,48,0,,,,,,,,,,,,,,,,,239.1047751,None,materials/singPic.jpg,capital,C_sing,48,40,235.4381287,None,235.4381287,None,236.3551008,None,236.6205449,None,236.6205449,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
49,0,49,0,,,,,,,,,,,,,,,,,243.3727611,None,materials/speakPic.jpg,sleep,B_aloud,49,290,239.7064888,None,239.7064888,None,240.6221136,None,240.8885367,None,240.8885367,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
50,0,50,0,,,,,,,,,,,,,,,,,247.640756,None,materials/readPic.jpg,touch,A_silent,50,332,243.9739861,None,243.9739861,None,244.8900793,None,245.156546,None,245.156546,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
51,0,51,0,,,,,,,,,,,,,,,,,251.9087351,None,materials/singPic.jpg,concern,C_sing,51,65,248.2432111,None,248.2432111,None,249.1583237,None,249.4245226,None,249.4245226,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
52,0,52,0,,,,,,,,,,,,,,,,,256.1767217,None,materials/singPic.jpg,surface,C_sing,52,316,252.5084907,None,252.5084907,None,253.4260792,None,253.6925194,None,253.6925194,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
53,0,53,0,,,,,,,,,,,,,,,,,260.4447304,None,materials/singPic.jpg,bucket,C_sing,53,33,256.7666374,None,256.7666374,None,257.6948106,None,257.9604948,None,257.9604948,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
54,0,54,0,,,,,,,,,,,,,,,,,264.7127101,None,materials/readPic.jpg,dance,A_silent,54,84,261.0463737,None,261.0463737,None,261.9620433,None,262.2284885,None,262.2284885,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
55,0,55,0,,,,,,,,,,,,,,,,,268.9806789,None,materials/readPic.jpg,title,A_silent,55,331,265.2853589,None,265.2853589,None,266.2299978,None,266.4964766,None,266.4964766,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
56,0,56,0,,,,,,,,,,,,,,,,,273.2488679,None,materials/speakPic.jpg,front,B_aloud,56,134,269.58208,None,269.58208,None,270.4980363,None,270.7644669,None,270.7644669,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
57,0,57,0,,,,,,,,,,,,,,,,,277.5166496,None,materials/readPic.jpg,public,A_silent,57,244,273.8499241,None,273.8499241,None,274.7660559,None,275.0324492,None,275.0324492,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
58,0,58,0,,,,,,,,,,,,,,,,,281.7846682,None,materials/readPic.jpg,judge,A_silent,58,166,278.0894218,None,278.0894218,None,279.0339706,None,279.3007249,None,279.3007249,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
59,0,59,0,,,,,,,,,,,,,,,,,286.0526541,None,materials/speakPic.jpg,individual,B_aloud,59,160,282.3693895,None,282.3693895,None,283.3020424,None,283.5684307,None,283.5684307,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
60,0,60,0,,,,,,,,,,,,,,,,,290.3206264,None,materials/speakPic.jpg,afternoon,B_aloud,60,3,286.635761,None,286.635761,None,287.5700264,None,287.8365675,None,287.8365675,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
61,0,61,0,,,,,,,,,,,,,,,,,294.5886238,None,materials/speakPic.jpg,still,B_aloud,61,304,290.8890462,None,290.8890462,None,291.8375082,None,292.1043811,None,292.1043811,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
62,0,62,0,,,,,,,,,,,,,,,,,298.8566063,None,materials/readPic.jpg,curve,A_silent,62,82,295.179722,None,295.179722,None,296.105971,None,296.3723938,None,296.3723938,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
63,0,63,0,,,,,,,,,,,,,,,,,303.124736,None,materials/speakPic.jpg,object,B_aloud,63,204,299.4584854,None,299.4584854,None,300.3742244,None,300.6403704,None,300.6403704,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
64,0,64,0,,,,,,,,,,,,,,,,,307.3925863,None,materials/readPic.jpg,brilliant,A_silent,64,30,303.7257691,None,303.7257691,None,304.6420041,None,304.908403,None,304.908403,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
65,0,65,0,,,,,,,,,,,,,,,,,311.66058,None,materials/readPic.jpg,distance,A_silent,65,100,307.9758378,None,307.9758378,None,308.9099733,None,309.1765168,None,309.1765168,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
66,0,66,0,,,,,,,,,,,,,,,,,315.9285607,None,materials/speakPic.jpg,vision,B_aloud,66,347,312.2479147,None,312.2479147,None,313.1779974,None,313.4443578,None,313.4443578,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
67,0,67,0,,,,,,,,,,,,,,,,,320.1965647,None,materials/speakPic.jpg,theme,B_aloud,67,326,316.5116872,None,316.5116872,None,317.4460108,None,317.7123434,None,317.7123434,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
68,0,68,0,,,,,,,,,,,,,,,,,324.4645366,None,materials/speakPic.jpg,mechanical,B_aloud,68,185,320.768905,None,320.768905,None,321.7139815,None,321.9803222,None,321.9803222,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
69,0,69,0,,,,,,,,,,,,,,,,,328.7325453,None,materials/readPic.jpg,partner,A_silent,69,211,325.0565317,None,325.0565317,None,325.9816894,None,326.2483053,None,326.2483053,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
70,0,70,0,,,,,,,,,,,,,,,,,333.0005144,None,materials/singPic.jpg,piece,C_sing,70,221,329.3383912,None,329.3383912,None,330.2506687,None,330.5163258,None,330.5163258,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
71,0,71,0,,,,,,,,,,,,,,,,,337.2685793,None,materials/singPic.jpg,rough,C_sing,71,266,333.5597761,None,333.5597761,None,334.517934,None,334.7843388,None,334.7843388,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
72,0,72,0,,,,,,,,,,,,,,,,,341.5364667,None,materials/readPic.jpg,little,A_silent,72,174,337.870386,None,337.870386,None,338.786291,None,339.0523201,None,339.0523201,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
73,0,73,0,,,,,,,,,,,,,,,,,345.8045332,None,materials/singPic.jpg,problem,C_sing,73,238,342.1378615,None,342.1378615,None,343.0539923,None,343.3202584,None,343.3202584,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
74,0,74,0,,,,,,,,,,,,,,,,,350.0724659,None,materials/readPic.jpg,right,A_silent,74,265,346.4125465,None,346.4125465,None,347.3216452,None,347.5882478,None,347.5882478,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
