StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,participant,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,,session,date,expName,psychopyVersion,frameRate
,,,,131,0,131,0,,,,,,,,,,,,,889.5559675,None,,,,,,,,,,,,,,,,,,,,,,dozen,D_new,131,102,888.2928892,None,888.2928892,None,888.2928892,sing17a,1,0.5698078,888.2928892,None,888.9224821,None,888.9224821,None,889.4422414,None,889.4422414,None,889.4422414,None,n,0.075574112,889.4422414,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,132,0,132,0,,,,,,,,,,,,,892.5569279,None,,,,,,,,,,,,,,,,,,,,,,danger,B_aloud,132,85,890.0734677,None,890.0734677,None,890.0734677,sing17a,2,1.748301611,890.0734677,None,891.873357,None,891.873357,None,892.3902986,None,892.3902986,None,892.3902986,None,f,0.11928096,892.3902986,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,133,0,133,0,,,,,,,,,,,,,894.4741398,None,,,,,,,,,,,,,,,,,,,,,,bucket,C_sing,133,33,893.074768,None,893.074768,None,893.074768,sing17a,1,0.770947627,893.074768,None,893.9073978,None,893.9073978,None,894.4242527,None,894.4242527,None,894.4242527,None,n,0.005412701,894.4242527,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,134,0,134,0,,,,,,,,,,,,,896.5582124,None,,,,,,,,,,,,,,,,,,,,,,research,D_new,134,261,894.9916903,None,894.9916903,None,894.9916903,sing17a,1,0.8617637,894.9916903,None,895.9080833,None,895.9080833,None,896.424712,None,896.424712,None,896.424712,None,n,0.093220128,896.424712,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,135,0,135,0,,,,,,,,,,,,,899.5258354,None,,,,,,,,,,,,,,,,,,,,,,trash,B_aloud,135,337,897.0750277,None,897.0750277,None,897.0750277,sing17a,6,1.459066057,897.0750277,None,898.5922119,None,898.5922119,None,899.1089494,None,899.1089494,None,899.1089494,None,r,0.368291659,899.1089494,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,136,0,136,0,,,,,,,,,,,,,903.0102426,None,,,,,,,,,,,,,,,,,,,,,,suspect,A_silent,136,318,900.0437575,None,900.0437575,None,900.0437575,sing17a,3,2.009800958,900.0437575,None,902.097409,None,902.097409,None,902.6266471,None,902.6266471,None,902.6266471,None,f,0.346426572,902.6266471,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,137,0,137,0,,,,,,,,,,,,,905.8277626,None,,,,,,,,,,,,,,,,,,,,,,election,D_new,137,109,903.5297036,None,903.5297036,None,903.5297036,sing17a,1,1.587904771,903.5297036,None,905.1774479,None,905.1774479,None,905.6942452,None,905.6942452,None,905.6942452,None,n,0.0946806,905.6942452,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,138,0,138,0,,,,,,,,,,,,,908.5118579,None,,,,,,,,,,,,,,,,,,,,,,novel,C_sing,138,202,906.3447677,None,906.3447677,None,906.3447677,sing17a,1,1.364127947,906.3447677,None,907.7618029,None,907.7618029,None,908.278529,None,908.278529,None,908.278529,None,n,0.190910307,908.278529,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,139,0,139,0,,,,,,,,,,,,,911.7129163,None,,,,,,,,,,,,,,,,,,,,,,charter,D_new,139,47,909.0306988,None,909.0306988,None,909.0306988,sing17a,1,1.862006593,909.0306988,None,910.9460459,None,910.9460459,None,911.4628634,None,911.4628634,None,911.4628634,None,n,0.206494371,911.4628634,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,140,0,140,0,,,,,,,,,,,,,913.9469761,None,,,,,,,,,,,,,,,,,,,,,,angle,A_silent,140,7,912.2297384,None,912.2297384,None,912.2297384,sing17a,1,1.054896436,912.2297384,None,913.3467385,None,913.3467385,None,913.8636129,None,913.8636129,None,913.8636129,None,n,0.036717982,913.8636129,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
