StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,,,,,,,,,,,,,1525.2715820737649,None,,,,,,,,,,,,,,,,,,,,,,judge,D_new,3,166,1504.1023026683833,None,1504.1023026683833,None,1504.1023026683833,None,1,1.685063133656513,1504.1023026683833,None,1505.8376391739585,None,1505.8376391739585,None,1506.366013248742,None,1506.366013248742,None,1506.366013248742,None,n,18.868337687366875,1506.366013248742,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,4,0,4,0,,,,,,,,,,,,,1532.3068933880713,None,,,,,,,,,,,,,,,,,,,,,,south,C_aloud2,4,296,1525.7885958201077,None,1525.7885958201077,None,1525.7885958201077,None,2,4.749475026444998,1525.7885958201077,None,1530.5784061080776,None,1530.5784061080776,None,1531.1066903028986,None,1531.1066903028986,None,1531.1066903028986,None,f,1.167476830247324,1531.1066903028986,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,5,0,5,0,,,,,,,,,,,,,1535.5914582944533,None,,,,,,,,,,,,,,,,,,,,,,mankind,A_silent,5,178,1532.8237251974642,None,1532.8237251974642,None,1532.8237251974642,None,2,1.9300186602049507,1532.8237251974642,None,1534.8077878335316,None,1534.8077878335316,None,1535.324732848152,None,1535.324732848152,None,1535.324732848152,None,f,0.22892019656137563,1535.324732848152,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,6,0,6,0,,,,,,,,,,,,,1544.294136965851,None,,,,,,,,,,,,,,,,,,,,,,expansion,D_new,6,123,1536.1083485724812,None,1536.1083485724812,None,1536.1083485724812,None,1,3.1971397027082276,1536.1083485724812,None,1539.3591282577545,None,1539.3591282577545,None,1539.8759893014794,None,1539.8759893014794,None,1539.8759893014794,None,n,4.381128941953648,1539.8759893014794,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,7,0,7,0,,,,,,,,,,,,,1549.3456652360328,None,,,,,,,,,,,,,,,,,,,,,,candidate,D_new,7,39,1544.8125250357552,None,1544.8125250357552,None,1544.8125250357552,None,1,2.1891453629359603,1544.8125250357552,None,1547.0491966784757,None,1547.0491966784757,None,1547.5782866828376,None,1547.5782866828376,None,1547.5782866828376,None,f,1.7268999191292096,1547.5782866828376,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,8,0,8,0,,,,,,,,,,,,,1554.280576600111,None,,,,,,,,,,,,,,,,,,,,,,shock,D_new,8,284,1549.8625558250933,None,1549.8625558250933,None,1549.8625558250933,None,1,2.0021894632081967,1549.8625558250933,None,1551.929704546841,None,1551.929704546841,None,1552.4465693226084,None,1552.4465693226084,None,1552.4465693226084,None,n,1.794346271082759,1552.4465693226084,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,9,0,9,0,,,,,,,,,,,,,1558.8651953100634,None,,,,,,,,,,,,,,,,,,,,,,primary,D_new,9,234,1554.798284505814,None,1554.798284505814,None,1554.798284505814,None,1,1.698358835594263,1554.798284505814,None,1556.5478173788579,None,1556.5478173788579,None,1557.0646249300044,None,1557.0646249300044,None,1557.0646249300044,None,n,1.7599804068158846,1557.0646249300044,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,10,0,10,0,,,,,,,,,,,,,1563.7500233252358,None,,,,,,,,,,,,,,,,,,,,,,foundation,C_aloud2,10,132,1559.383107233938,None,1559.383107233938,None,1559.383107233938,None,5,2.8650251912768,1559.383107233938,None,1562.2880975928274,None,1562.2880975928274,None,1562.8164001368277,None,1562.8164001368277,None,1562.8164001368277,None,f,0.8876425950147677,1562.8164001368277,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,11,0,11,0,,,,,,,,,,,,,1569.4686200783472,None,,,,,,,,,,,,,,,,,,,,,,religion,C_aloud2,11,258,1564.2686598867876,None,1564.2686598867876,None,1564.2686598867876,None,5,3.6754086583387107,1564.2686598867876,None,1567.9893922995543,None,1567.9893922995543,None,1568.518286060833,None,1568.518286060833,None,1568.518286060833,None,f,0.9135059401451144,1568.518286060833,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,12,0,12,0,,,,,,,,,,,,,1575.3369680288597,None,,,,,,,,,,,,,,,,,,,,,,waste,D_new,12,350,1569.9852519126434,None,1569.9852519126434,None,1569.9852519126434,None,1,3.3104640169185586,1569.9852519126434,None,1573.3531178080302,None,1573.3531178080302,None,1573.8699639236147,None,1573.8699639236147,None,1573.8699639236147,None,n,1.4260331529658288,1573.8699639236147,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,13,0,13,0,,,,,,,,,,,,,1579.1381066119066,None,,,,,,,,,,,,,,,,,,,,,,throw,B_aloud1,13,330,1575.8542865584313,None,1575.8542865584313,None,1575.8542865584313,None,2,1.8650873919250444,1575.8542865584313,None,1577.7710766934033,None,1577.7710766934033,None,1578.2879912297067,None,1578.2879912297067,None,1578.2879912297067,None,f,0.8151949990715366,1578.2879912297067,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,14,0,14,0,,,,,,,,,,,,,1582.7901959320589,None,,,,,,,,,,,,,,,,,,,,,,payment,B_aloud1,14,215,1579.6551377744472,None,1579.6551377744472,None,1579.6551377744472,None,6,1.808532064431347,1579.6551377744472,None,1581.52220719037,None,1581.52220719037,None,1582.0391643341281,None,1582.0391643341281,None,1582.0391643341281,None,r,0.7278774025035091,1582.0391643341281,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,15,0,15,0,,,,,,,,,,,,,1586.0068996081245,None,,,,,,,,,,,,,,,,,,,,,,generation,C_aloud2,15,136,1583.290692293318,None,1583.290692293318,None,1583.290692293318,None,6,1.908703427267028,1583.290692293318,None,1585.2566884368716,None,1585.2566884368716,None,1585.7735357964702,None,1585.7735357964702,None,1585.7735357964702,None,r,0.18523605150403455,1585.7735357964702,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,16,0,16,0,,,,,,,,,,,,,1592.0756117434648,None,,,,,,,,,,,,,,,,,,,,,,finish,D_new,16,130,1586.5237382596242,None,1586.5237382596242,None,1586.5237382596242,None,4,1.8916716427193023,1586.5237382596242,None,1588.4744697393617,None,1588.4744697393617,None,1588.9913220749877,None,1588.9913220749877,None,1588.9913220749877,None,f,3.047129750571912,1588.9913220749877,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,17,0,17,0,,,,,,,,,,,,,1596.7603934191575,None,,,,,,,,,,,,,,,,,,,,,,entrance,D_new,17,115,1592.5943369409651,None,1592.5943369409651,None,1592.5943369409651,None,2,2.243900603352813,1592.5943369409651,None,1594.8930487653124,None,1594.8930487653124,None,1595.4099676556361,None,1595.4099676556361,None,1595.4099676556361,None,n,1.3087762020295486,1595.4099676556361,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,18,0,18,0,,,,,,,,,,,,,1600.828170989611,None,,,,,,,,,,,,,,,,,,,,,,material,D_new,18,182,1597.2774096535286,None,1597.2774096535286,None,1597.2774096535286,None,1,1.9768411394907162,1597.2774096535286,None,1599.3111255209078,None,1599.3111255209078,None,1599.8279878086469,None,1599.8279878086469,None,1599.8279878086469,None,n,0.9538810101512354,1599.8279878086469,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,19,0,19,0,,,,,,,,,,,,,1604.3625993655296,None,,,,,,,,,,,,,,,,,,,,,,dance,D_new,19,84,1601.3453296634834,None,1601.3453296634834,None,1601.3453296634834,None,1,1.220445045735687,1601.3453296634834,None,1602.628712135338,None,1602.628712135338,None,1603.1457460968813,None,1603.1457460968813,None,1603.1457460968813,None,n,1.1721577408898156,1603.1457460968813,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,20,0,20,0,,,,,,,,,,,,,1608.113686944067,None,,,,,,,,,,,,,,,,,,,,,,broke,D_new,20,32,1604.8793885674968,None,1604.8793885674968,None,1604.8793885674968,None,1,1.3983588356059045,1604.8793885674968,None,1606.3299797847867,None,1606.3299797847867,None,1606.8468184362573,None,1606.8468184362573,None,1606.8468184362573,None,n,1.2307087765075266,1606.8468184362573,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,21,0,21,0,,,,,,,,,,,,,1611.5816644896404,None,,,,,,,,,,,,,,,,,,,,,,trend,D_new,21,340,1608.630538657686,None,1608.630538657686,None,1608.630538657686,None,1,1.3831675685942173,1608.630538657686,None,1610.0645226099296,None,1610.0645226099296,None,1610.5811976736877,None,1610.5811976736877,None,1610.5811976736877,None,n,0.9604192324331962,1610.5811976736877,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,22,0,22,0,,,,,,,,,,,,,1614.7992912234622,None,,,,,,,,,,,,,,,,,,,,,,victory,A_silent,22,346,1612.0989581389294,None,1612.0989581389294,None,1612.0989581389294,None,1,1.2265565714915283,1612.0989581389294,None,1613.371846737573,None,1613.371846737573,None,1613.8990209616022,None,1613.8990209616022,None,1613.8990209616022,None,n,0.8587230204720981,1613.8990209616022,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,23,0,23,0,,,,,,,,,,,,,1618.3004304285569,None,,,,,,,,,,,,,,,,,,,,,,character,D_new,23,46,1615.3176939105324,None,1615.3176939105324,None,1615.3176939105324,None,1,1.615675499138888,1615.3176939105324,None,1616.9729439571965,None,1616.9729439571965,None,1617.5000771288178,None,1617.5000771288178,None,1617.5000771288178,None,n,0.7527477141120471,1617.5000771288178,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,24,0,24,0,,,,,,,,,,,,,1621.734673446539,None,,,,,,,,,,,,,,,,,,,,,,salary,D_new,24,271,1618.8180745785648,None,1618.8180745785648,None,1618.8180745785648,None,1,1.3866682216757908,1618.8180745785648,None,1620.2675331218343,None,1620.2675331218343,None,1620.7845111028,None,1620.7845111028,None,1620.7845111028,None,n,0.9165005908871535,1620.7845111028,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,25,0,25,0,,,,,,,,,,,,,1625.3192352428741,None,,,,,,,,,,,,,,,,,,,,,,military,B_aloud1,25,190,1622.2516641786206,None,1622.2516641786206,None,1622.2516641786206,None,6,1.5288847421761602,1622.2516641786206,None,1623.8353022951924,None,1623.8353022951924,None,1624.3521583628608,None,1624.3521583628608,None,1624.3521583628608,None,r,0.9250510045385454,1624.3521583628608,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,26,0,26,0,,,,,,,,,,,,,1628.5702211233438,None,,,,,,,,,,,,,,,,,,,,,,suggestion,C_aloud2,26,314,1625.8371686259634,None,1625.8371686259634,None,1625.8371686259634,None,5,1.4792467500374187,1625.8371686259634,None,1627.3698612925073,None,1627.3698612925073,None,1627.8864614044724,None,1627.8864614044724,None,1627.8864614044724,None,f,0.6458649001724552,1627.8864614044724,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,27,0,27,0,,,,,,,,,,,,,1631.671056478197,None,,,,,,,,,,,,,,,,,,,,,,chief,B_aloud1,27,48,1629.0890694781265,None,1629.0890694781265,None,1629.0890694781265,None,6,1.2991226596932393,1629.0890694781265,None,1630.4373409218097,None,1630.4373409218097,None,1630.954339739983,None,1630.954339739983,None,1630.954339739983,None,r,0.6743873234954663,1630.954339739983,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,28,0,28,0,,,,,,,,,,,,,1634.788663307816,None,,,,,,,,,,,,,,,,,,,,,,whole,D_new,28,355,1632.187983143609,None,1632.187983143609,None,1632.187983143609,None,1,1.3520753249758855,1632.187983143609,None,1633.5927393170132,None,1633.5927393170132,None,1634.1218411395093,None,1634.1218411395093,None,1634.1218411395093,None,f,0.6180997698393185,1634.1218411395093,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,29,0,29,0,,,,,,,,,,,,,1637.5228917086497,None,,,,,,,,,,,,,,,,,,,,,,track,A_silent,29,334,1635.3055538968474,None,1635.3055538968474,None,1635.3055538968474,None,6,1.1382546495005954,1635.3055538968474,None,1636.505960689159,None,1636.505960689159,None,1637.022964483418,None,1637.022964483418,None,1637.022964483418,None,r,0.4527881445537787,1637.022964483418,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,30,0,30,0,,,,,,,,,,,,,1641.7742088075902,None,,,,,,,,,,,,,,,,,,,,,,running,B_aloud1,30,268,1638.0400566025928,None,1638.0400566025928,None,1638.0400566025928,None,6,1.315943273017183,1638.0400566025928,None,1639.4067770728143,None,1639.4067770728143,None,1639.9237115133437,None,1639.9237115133437,None,1639.9237115133437,None,r,1.808451514603803,1639.9237115133437,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,31,0,31,0,,,,,,,,,,,,,1645.0586906761164,None,,,,,,,,,,,,,,,,,,,,,,dream,D_new,31,104,1642.2910306648992,None,1642.2910306648992,None,1642.2910306648992,None,5,1.5364579834567849,1642.2910306648992,None,1643.8798964358866,None,1643.8798964358866,None,1644.4084838589188,None,1644.4084838589188,None,1644.4084838589188,None,f,0.6111815015319735,1644.4084838589188,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,32,0,32,0,,,,,,,,,,,,,1648.5262713814736,None,,,,,,,,,,,,,,,,,,,,,,owner,A_silent,32,208,1645.575460906868,None,1645.575460906868,None,1645.575460906868,None,4,1.5403610748180654,1645.575460906868,None,1647.1758449959452,None,1647.1758449959452,None,1647.6928111587767,None,1647.6928111587767,None,1647.6928111587767,None,f,0.7984735958161764,1647.6928111587767,None,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
