StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,135,0,135,0,,,,,,,,,,,,,,,,,,,,,,755.4866477,None,,,,,,,,,,,,,,,,,,beauty,86,136,sing,old,red,753.4583683,None,753.4583683,None,6,1.2216782,753.4583683,None,1.2216782,754.7115981,None,755.2206682,None,755.2206682,None,r,0.2353474,755.2206682,None,0.2353474,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,136,0,136,0,,,,,,,,,,,,,,,,,,,,,,758.2727785,None,,,,,,,,,,,,,,,,,,account,159,137,sing,new,null,755.9943907,None,755.9943907,None,4,1.5815551,755.9943907,None,1.5815551,757.6057506,None,758.108215,None,758.108215,None,f,0.1478457,758.108215,None,0.1478457,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,137,0,137,0,,,,,,,,,,,,,,,,,,,,,,760.641502,None,,,,,,,,,,,,,,,,,,place,131,138,sing,new,null,758.7782505,None,758.7782505,None,3,1.0458294,758.7782505,None,1.0458294,759.8417984,None,760.3432303,None,760.3432303,None,f,0.2806839,760.3432303,None,0.2806839,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,138,0,138,0,,,,,,,,,,,,,,,,,,,,,,763.7949149,None,,,,,,,,,,,,,,,,,,interior,157,139,sing,new,null,761.1486528,None,761.1486528,None,4,1.8433523,761.1486528,None,1.8433523,763.0124717,None,763.5280041,None,763.5280041,None,f,0.2480119,763.5280041,None,0.2480119,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,,,,,767.5002081,None,,,,,,,,,,,,,,,,,,tragedy,54,140,sing,old,blue,764.3060655,None,764.3060655,None,5,1.7100101,764.3060655,None,1.7100101,766.0488558,None,766.5644972,None,766.5644972,None,r,0.9074245,766.5644972,None,0.9074245,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,140,0,140,0,,,,,,,,,,,,,,,,,,,,,,769.8008996,None,,,,,,,,,,,,,,,,,,discovery,21,141,sing,old,yellow,768.0161321,None,768.0161321,None,6,1.0078528,768.0161321,None,1.0078528,769.057004,None,769.5786253,None,769.5786253,None,r,0.2053139,769.5786253,None,0.2053139,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,,,,,771.9696208,None,,,,,,,,,,,,,,,,,,council,87,142,sing,old,red,770.3043857,None,770.3043857,None,6,0.8235778,770.3043857,None,0.8235778,771.152123,None,771.6528377,None,771.6528377,None,r,0.2911495,771.6528377,None,0.2911495,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,,,,,775.039396,None,,,,,,,,,,,,,,,,,,signal,173,143,sing,new,null,772.4816693,None,772.4816693,None,6,1.7663624,772.4816693,None,1.7663624,774.2770063,None,774.7922895,None,774.7922895,None,r,0.2235422,774.7922895,None,0.2235422,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,,,,,777.3432368,None,,,,,,,,,,,,,,,,,,stranger,98,144,sing,new,null,775.550545,None,775.550545,None,1,1.1374334,775.550545,None,1.1374334,776.7134284,None,777.226708,None,777.226708,None,n,0.0853021,777.226708,None,0.0853021,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,,,,,779.5605875,None,,,,,,,,,,,,,,,,,,column,6,145,sing,old,yellow,777.8482206,None,777.8482206,None,1,0.7598003,777.8482206,None,0.7598003,778.6293415,None,779.1437319,None,779.1437319,None,n,0.4002346,779.1437319,None,0.4002346,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
