StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,159,0,159,0,,,,,,,,,,,,,,,,,,,,,,1685.1436999998987,None,,,,,,,,,,,,,,,,,,question,59,160,sing,old,yellow,1682.553836999461,None,1682.553836999461,None,6,1.8765268996357918,1682.553836999461,None,1.8765268996357918,1684.4657177999616,None,1684.9820993002504,None,1684.9820993002504,None,r,0.13634580001235008,1684.9820993002504,None,0.13634580001235008,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,160,0,160,0,,,,,,,,,,,,,,,,,,,,,,1688.4981647999957,None,,,,,,,,,,,,,,,,,,article,8,161,sing,old,yellow,1685.6591843003407,None,1685.6591843003407,None,3,1.7393469996750355,1685.6591843003407,None,1.7393469996750355,1687.4274019002914,None,1687.9280303996056,None,1687.9280303996056,None,n,0.5426524002104998,1687.9280303996056,None,0.5426524002104998,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,161,0,161,0,,,,,,,,,,,,,,,,,,,,,,1691.6655235001817,None,,,,,,,,,,,,,,,,,,tennis,80,162,sing,old,red,1689.0282172998413,None,1689.0282172998413,None,6,1.2982669994235039,1689.0282172998413,None,1.2982669994235039,1690.3485719002783,None,1690.8642248995602,None,1690.8642248995602,None,r,0.7822062997147441,1690.8642248995602,None,0.7822062997147441,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,162,0,162,0,,,,,,,,,,,,,,,,,,,,,,1696.3193049998954,None,,,,,,,,,,,,,,,,,,match,139,163,sing,new,null,1692.167361999862,None,1692.167361999862,None,5,2.5350007005035877,1692.167361999862,None,2.5350007005035877,1694.725072699599,None,1695.2463346999139,None,1695.2463346999139,None,f,1.0562616996467113,1695.2463346999139,None,1.0562616996467113,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,163,0,163,0,,,,,,,,,,,,,,,,,,,,,,1699.8928060000762,None,,,,,,,,,,,,,,,,,,smell,113,164,sing,new,null,1696.8310308996588,None,1696.8310308996588,None,3,1.9193601999431849,1696.8310308996588,None,1.9193601999431849,1698.7724059000611,None,1699.2723319996148,None,1699.2723319996148,None,n,0.5980282006785274,1699.2723319996148,None,0.5980282006785274,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,164,0,164,0,,,,,,,,,,,,,,,,,,,,,,1703.509832999669,None,,,,,,,,,,,,,,,,,,division,178,165,sing,new,null,1700.415987599641,None,1700.415987599641,None,4,2.078461700119078,1700.415987599641,None,2.078461700119078,1702.538108699955,None,1703.0500547001138,None,1703.0500547001138,None,f,0.4443499995395541,1703.0500547001138,None,0.4443499995395541,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,165,0,165,0,,,,,,,,,,,,,,,,,,,,,,1707.1804165998474,None,,,,,,,,,,,,,,,,,,volume,14,166,sing,old,yellow,1704.010470699519,None,1704.010470699519,None,5,1.8839525002986193,1704.010470699519,None,1.8839525002986193,1705.9186594001949,None,1706.4295330001041,None,1706.4295330001041,None,f,0.720893899910152,1706.4295330001041,None,0.720893899910152,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,166,0,166,0,,,,,,,,,,,,,,,,,,,,,,1711.6546422000974,None,,,,,,,,,,,,,,,,,,platform,102,167,sing,new,null,1707.6811653003097,None,1707.6811653003097,None,4,2.829492099583149,1707.6811653003097,None,2.829492099583149,1710.53540099971,None,1711.051037799567,None,1711.051037799567,None,f,0.5715640997514129,1711.051037799567,None,0.5715640997514129,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,167,0,167,0,,,,,,,,,,,,,,,,,,,,,,1715.3719264995307,None,,,,,,,,,,,,,,,,,,carry,41,168,sing,old,blue,1712.168850099668,None,1712.168850099668,None,5,2.0617718007415533,1712.168850099668,None,2.0617718007415533,1714.25550249964,None,1714.7568197995424,None,1714.7568197995424,None,f,0.5937262997031212,1714.7568197995424,None,0.5937262997031212,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,168,0,168,0,,,,,,,,,,,,,,,,,,,,,,1728.7852467997,None,,,,,,,,,,,,,,,,,,search,13,169,sing,old,yellow,1715.8783408999443,None,1715.8783408999443,None,5,3.752140099182725,1715.8783408999443,None,3.752140099182725,1719.66066709999,None,1720.1602569995448,None,1720.1602569995448,None,f,8.59818010032177,1720.1602569995448,None,8.59818010032177,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
