StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,978.8762473999996,None,,,,,,,,,,,,,,,,,,universal,62,34,aloud,old,red,975.0317251999986,None,975.0317251999986,None,5,2.929641200000333,975.0317251999986,None,2.929641200000333,978.0039485999987,None,978.512522699999,None,978.512522699999,None,r,0.3448141000008036,978.512522699999,None,0.3448141000008036,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,983.7855380000001,None,,,,,,,,,,,,,,,,,,edition,60,35,aloud,old,red,979.3841900000007,None,979.3841900000007,None,4,3.337059000001318,979.3841900000007,None,3.337059000001318,982.7526505999995,None,983.2640944999985,None,983.2640944999985,None,f,0.4972352000004321,983.2640944999985,None,0.4972352000004321,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,991.039347599999,None,,,,,,,,,,,,,,,,,,travel,80,36,aloud,old,red,984.3013022999985,None,984.3013022999985,None,3,2.1959421999999904,984.3013022999985,None,2.1959421999999904,986.5189977000009,None,987.0215614000008,None,987.0215614000008,None,n,3.987849200002529,987.0215614000008,None,3.987849200002529,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,999.3483123999977,None,,,,,,,,,,,,,,,,,,trend,51,37,aloud,old,blue,991.5527206999977,None,991.5527206999977,None,3,4.95249049999984,991.5527206999977,None,4.95249049999984,996.5283426999995,None,997.0311211999979,None,997.0311211999979,None,f,2.298266699999658,997.0311211999979,None,2.298266699999658,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,1002.4496914999982,None,,,,,,,,,,,,,,,,,,health,27,38,aloud,old,yellow,999.8698718999985,None,999.8698718999985,None,6,1.7793735999985074,999.8698718999985,None,1.7793735999985074,1001.6656560999982,None,1002.1680828999997,None,1002.1680828999997,None,r,0.25716820000161533,1002.1680828999997,None,0.25716820000161533,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,1005.4703726000007,None,,,,,,,,,,,,,,,,,,couch,136,39,aloud,new,null,1002.9582740000005,None,1002.9582740000005,None,1,1.539058300000761,1002.9582740000005,None,1.539058300000761,1004.526284399999,None,1005.0362377999991,None,1005.0362377999991,None,n,0.4130516000004718,1005.0362377999991,None,0.4130516000004718,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,1010.5245608999976,None,,,,,,,,,,,,,,,,,,minor,161,40,aloud,new,null,1005.9715352999992,None,1005.9715352999992,None,2,3.565788399999292,1005.9715352999992,None,3.565788399999292,1009.5569217000011,None,1010.0573569000007,None,1010.0573569000007,None,n,0.43986170000061975,1010.0573569000007,None,0.43986170000061975,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,1014.4809083,None,,,,,,,,,,,,,,,,,,silence,138,41,aloud,new,null,1011.0385080999986,None,1011.0385080999986,None,2,2.506741299999703,1011.0385080999986,None,2.506741299999703,1013.5657333999989,None,1014.0883018999994,None,1014.0883018999994,None,n,0.3609802999999374,1014.0883018999994,None,0.3609802999999374,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,1019.2681147000003,None,,,,,,,,,,,,,,,,,,beginning,91,42,aloud,new,null,1015.0057396999982,None,1015.0057396999982,None,2,2.8996652999994694,1015.0057396999982,None,2.8996652999994694,1017.9402239999981,None,1018.4546854,None,1018.4546854,None,n,0.7946440000014263,1018.4546854,None,0.7946440000014263,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,1025.2893101000009,None,,,,,,,,,,,,,,,,,,century,95,43,aloud,new,null,1019.7749698999978,None,1019.7749698999978,None,2,4.602338299999246,1019.7749698999978,None,4.602338299999246,1024.4163449000007,None,1024.9299425999998,None,1024.9299425999998,None,n,0.3431868999978178,1024.9299425999998,None,0.3431868999978178,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,1029.6937221999979,None,,,,,,,,,,,,,,,,,,society,153,44,aloud,new,null,1025.799099699998,None,1025.799099699998,None,4,2.9381205000026966,1025.799099699998,None,2.9381205000026966,1028.7608647999987,None,1029.265391500001,None,1029.265391500001,None,f,0.407897299999604,1029.265391500001,None,0.407897299999604,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,1033.0469984999982,None,,,,,,,,,,,,,,,,,,comfort,111,45,aloud,new,null,1030.2015705999984,None,1030.2015705999984,None,3,2.0238053999964905,1030.2015705999984,None,2.0238053999964905,1032.2548552999979,None,1032.7644843999988,None,1032.7644843999988,None,f,0.2527937999984715,1032.7644843999988,None,0.2527937999984715,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,1037.4699359000006,None,,,,,,,,,,,,,,,,,,congress,44,46,aloud,old,blue,1033.5575252999988,None,1033.5575252999988,None,6,3.0918055000001914,1033.5575252999988,None,3.0918055000001914,1036.6708246999988,None,1037.1846110999977,None,1037.1846110999977,None,r,0.26477950000116834,1037.1846110999977,None,0.26477950000116834,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,1042.0236321000011,None,,,,,,,,,,,,,,,,,,carry,101,47,aloud,new,null,1037.9882762999987,None,1037.9882762999987,None,3,2.5888838000028045,1037.9882762999987,None,2.5888838000028045,1040.606854900001,None,1041.1218850000005,None,1041.1218850000005,None,f,0.8795050999979139,1041.1218850000005,None,0.8795050999979139,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,1045.0475239000007,None,,,,,,,,,,,,,,,,,,guide,23,48,aloud,old,yellow,1042.5358820000001,None,1042.5358820000001,None,4,1.6974483999983931,1042.5358820000001,None,1.6974483999983931,1044.261281799998,None,1044.775519499999,None,1044.775519499999,None,f,0.24203850000048988,1044.775519499999,None,0.24203850000048988,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,1049.3965141000008,None,,,,,,,,,,,,,,,,,,taste,17,49,aloud,old,yellow,1045.5666629000007,None,1045.5666629000007,None,5,2.914733299996442,1045.5666629000007,None,2.914733299996442,1048.5206240999978,None,1049.0340533999988,None,1049.0340533999988,None,r,0.3351769999972021,1049.0340533999988,None,0.3351769999972021,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,1052.416324400001,None,,,,,,,,,,,,,,,,,,guard,40,50,aloud,old,blue,1049.8973724999996,None,1049.8973724999996,None,4,1.6240285000021686,1049.8973724999996,None,1.6240285000021686,1051.555906900001,None,1052.0710776999986,None,1052.0710776999986,None,r,0.32221650000064983,1052.0710776999986,None,0.32221650000064983,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
