StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,201.7415381,None,report,33,25,aloud,blue,199.7392907,None,None,199.7392907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,204.260589,None,member,81,26,aloud,red,202.2454716,None,None,202.2454716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.7632966,None,sweet,18,27,aloud,yellow,204.7611971,None,None,204.7611971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,209.2658623,None,reach,86,28,aloud,red,207.2640359,None,None,207.2640359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.7679682,None,touch,9,29,aloud,yellow,209.7676866,None,None,209.7676866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,214.2706999,None,force,31,30,aloud,blue,212.2701751,None,None,212.2701751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.7897599,None,drove,36,31,aloud,blue,214.7764914,None,None,214.7764914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.2921239,None,display,59,32,aloud,yellow,217.2901894,None,None,217.2901894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.7945678,None,entrance,67,33,aloud,red,219.7932135,None,None,219.7932135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.297001,None,trial,29,34,aloud,blue,222.2950971,None,None,222.2950971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
