StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,864.9708439,None,,,,,,,,,,,,,,,,,,breath,61,90,silent,old,red,862.3955284,None,862.3955284,None,3,1.3747324,862.3955284,None,1.3747324,863.8061894,None,864.3221824,None,864.3221824,None,n,0.6316753,864.3221824,None,0.6316753,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,868.8580717,None,,,,,,,,,,,,,,,,,,design,16,91,silent,old,yellow,865.4811001,None,865.4811001,None,6,2.3767418,865.4811001,None,2.3767418,867.8750643,None,868.3743664,None,868.3743664,None,r,0.4595206,868.3743664,None,0.4595206,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,873.28105,None,,,,,,,,,,,,,,,,,,sight,148,92,silent,new,null,869.3597213,None,869.3597213,None,4,2.4022694,869.3597213,None,2.4022694,871.7851196,None,872.2948636,None,872.2948636,None,f,0.963328,872.2948636,None,0.963328,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,877.1329479,None,,,,,,,,,,,,,,,,,,quantity,139,93,silent,new,null,873.8033817,None,873.8033817,None,5,2.3185881,873.8033817,None,2.3185881,876.1592556,None,876.6699642,None,876.6699642,None,f,0.4358323,876.6699642,None,0.4358323,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,880.1720882,None,,,,,,,,,,,,,,,,,,payment,136,94,silent,new,null,877.6412169,None,877.6412169,None,2,1.6086245,877.6412169,None,1.6086245,879.2696738,None,879.7690171,None,879.7690171,None,n,0.3687783,879.7690171,None,0.3687783,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,883.9230757,None,,,,,,,,,,,,,,,,,,guest,143,95,silent,new,null,880.6908148,None,880.6908148,None,1,2.5669091,880.6908148,None,2.5669091,883.2888516,None,883.7940301,None,883.7940301,None,n,0.1118796,883.7940301,None,0.1118796,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,892.9652042,None,,,,,,,,,,,,,,,,,,medicine,135,96,silent,new,null,884.4341079,None,884.4341079,None,3,1.5757655,884.4341079,None,1.5757655,886.0310312,None,886.5464026,None,886.5464026,None,f,6.3994729,886.5464026,None,6.3994729,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,896.2019591,None,,,,,,,,,,,,,,,,,,employment,103,97,silent,new,null,893.4660565,None,893.4660565,None,1,2.1757209,893.4660565,None,2.1757209,895.6692534,None,896.1770668,None,896.1770668,None,n,0.0086421,896.1770668,None,0.0086421,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,899.0881274,None,,,,,,,,,,,,,,,,,,present,6,98,silent,old,yellow,896.7054107,None,896.7054107,None,4,1.5445835,896.7054107,None,1.5445835,898.2758828,None,898.7912068,None,898.7912068,None,f,0.2666209,898.7912068,None,0.2666209,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,903.0754982,None,,,,,,,,,,,,,,,,,,crowd,175,99,silent,new,null,899.5988204,None,899.5988204,None,1,2.7710412,899.5988204,None,2.7710412,902.3968158,None,902.9133626,None,902.9133626,None,n,0.1443645,902.9133626,None,0.1443645,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,905.5279047,None,,,,,,,,,,,,,,,,,,shear,109,100,silent,new,null,903.5822907,None,903.5822907,None,1,1.2355119,903.5822907,None,1.2355119,904.8452624,None,905.3476883,None,905.3476883,None,n,0.1500667,905.3476883,None,0.1500667,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,907.9970726,None,,,,,,,,,,,,,,,,,,minor,153,101,silent,new,null,906.0357603,None,906.0357603,None,1,1.2540469,906.0357603,None,1.2540469,907.3128861,None,907.8135532,None,907.8135532,None,n,0.1645804,907.8135532,None,0.1645804,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,910.9851918,None,,,,,,,,,,,,,,,,,,story,60,102,silent,old,red,908.4974583,None,908.4974583,None,4,1.8323625,908.4974583,None,1.8323625,910.3528917,None,910.8667311,None,910.8667311,None,f,0.0952268,910.8667311,None,0.0952268,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,913.4624583,None,,,,,,,,,,,,,,,,,,captain,121,103,silent,new,null,911.5025912,None,911.5025912,None,1,1.3551474,911.5025912,None,1.3551474,912.8863235,None,913.3978429,None,913.3978429,None,n,0.0366118,913.3978429,None,0.0366118,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,918.4773395,None,,,,,,,,,,,,,,,,,,finance,93,104,silent,new,null,913.9802454,None,913.9802454,None,1,1.6375207,913.9802454,None,1.6375207,915.639113,None,916.1414112,None,916.1414112,None,n,2.3084831,916.1414112,None,2.3084831,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,921.827539,None,,,,,,,,,,,,,,,,,,month,49,105,silent,old,blue,918.9940201,None,918.9940201,None,1,1.391697,918.9940201,None,1.391697,920.4103618,None,920.9100836,None,920.9100836,None,n,0.8916723,920.9100836,None,0.8916723,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,924.8304116,None,,,,,,,,,,,,,,,,,,title,156,106,silent,new,null,922.3379608,None,922.3379608,None,1,1.5597717,922.3379608,None,1.5597717,923.9139285,None,924.4135744,None,924.4135744,None,n,0.3881915,924.4135744,None,0.3881915,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,932.7717552,None,,,,,,,,,,,,,,,,,,budget,149,107,silent,new,null,925.3310978,None,925.3310978,None,2,4.2785485,925.3310978,None,4.2785485,929.6363125,None,930.139849,None,930.139849,None,n,2.6059415,930.139849,None,2.6059415,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,935.7080848,None,,,,,,,,,,,,,,,,,,command,32,108,silent,old,blue,933.2795542,None,933.2795542,None,4,1.6981531,933.2795542,None,1.6981531,935.007327,None,935.5078506,None,935.5078506,None,f,0.1819437,935.5078506,None,0.1819437,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,938.8954215,None,,,,,,,,,,,,,,,,,,poetry,26,109,silent,old,yellow,936.2121874,None,936.2121874,None,3,2.0695518,936.2121874,None,2.0695518,938.3120658,None,938.8140835,None,938.8140835,None,f,0.0596853,938.8140835,None,0.0596853,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,942.3477778,None,,,,,,,,,,,,,,,,,,danger,115,110,silent,new,null,939.4029891,None,939.4029891,None,1,1.4547163,939.4029891,None,1.4547163,940.8808547,None,941.38044,None,941.38044,None,n,0.9492868,941.38044,None,0.9492868,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,110,0,110,0,,,,,,,,,,,,,,,,,,,,,,945.0505307,None,,,,,,,,,,,,,,,,,,dozen,124,111,silent,new,null,942.8605177,None,942.8605177,None,1,1.4611159,942.8605177,None,1.4611159,944.3515237,None,944.867258,None,944.867258,None,n,0.1584338,944.867258,None,0.1584338,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
