StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,395.0687290999922,None,equipment,36,46,aloud,blue,393.06733330000134,None,None,,393.06733330000134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,397.57128069999453,None,force,28,47,aloud,yellow,395.57140639999125,None,None,,395.57140639999125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,400.09070050000446,None,instrument,75,48,aloud,red,398.0844330999971,None,None,,398.0844330999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,402.60985249999794,None,husband,24,49,aloud,yellow,400.5973609999928,None,None,,400.5973609999928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,405.1121207999968,None,answer,37,50,aloud,blue,403.10643040000286,None,None,,403.10643040000286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,407.61458789999597,None,scale,45,51,aloud,blue,405.6152934999991,None,None,,405.6152934999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,410.1337829999975,None,capital,4,52,aloud,yellow,408.1201923000044,None,None,,408.1201923000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,412.636387999999,None,hunger,5,53,aloud,yellow,410.6346540999948,None,None,,410.6346540999948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,415.15564820000145,None,power,88,54,aloud,red,413.14147829999274,None,None,,413.14147829999274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,417.6578814999957,None,corner,41,55,aloud,blue,415.65797179999936,None,None,,415.65797179999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,420.1770082000003,None,profession,69,56,aloud,red,418.1731443000026,None,None,,418.1731443000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,422.6795770000026,None,character,84,57,aloud,red,420.6797061999969,None,None,,420.6797061999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,425.18196469999384,None,exchange,30,58,aloud,blue,423.1816068000044,None,None,,423.1816068000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
