StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,2266.249174,None,,,,,,,,,,,,,,,,,,evidence,56,31,silent,old,blue,2262.534475,None,2262.534475,None,5,2.4691945,2262.534475,None,2.4691945,2265.041538,None,2265.549392,None,2265.549392,None,f,0.6782279,2265.549392,None,0.6782279,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,2270.386653,None,,,,,,,,,,,,,,,,,,candidate,154,32,silent,new,null,2266.749772,None,2266.749772,None,2,2.9577905,2266.749772,None,2.9577905,2269.740794,None,2270.257663,None,2270.257663,None,f,0.1140165,2270.257663,None,0.1140165,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,2275.725286,None,,,,,,,,,,,,,,,,,,level,83,33,silent,old,red,2270.896436,None,2270.896436,None,6,3.39516,2270.896436,None,3.39516,2274.30856,None,2274.81202,None,2274.81202,None,r,0.8875786,2274.81202,None,0.8875786,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,2279.278831,None,,,,,,,,,,,,,,,,,,institute,57,34,silent,old,blue,2276.230302,None,2276.230302,None,6,2.3972638,2276.230302,None,2.3972638,2278.646219,None,2279.151262,None,2279.151262,None,r,0.1002501,2279.151262,None,0.1002501,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,2283.282817,None,,,,,,,,,,,,,,,,,,court,39,35,silent,old,blue,2279.787138,None,2279.787138,None,1,2.0324221,2279.787138,None,2.0324221,2281.848062,None,2282.351686,None,2282.351686,None,n,0.9001125,2282.351686,None,0.9001125,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,2287.55345,None,,,,,,,,,,,,,,,,,,sight,75,36,silent,old,red,2283.790922,None,2283.790922,None,5,2.2446682,2283.790922,None,2.2446682,2286.053214,None,2286.552888,None,2286.552888,None,r,0.9708085,2286.552888,None,0.9708085,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,2292.208262,None,,,,,,,,,,,,,,,,,,century,175,37,silent,new,null,2288.060939,None,2288.060939,None,5,1.7586594,2288.060939,None,1.7586594,2289.842789,None,2290.356623,None,2290.356623,None,f,1.8228412,2290.356623,None,1.8228412,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,2297.013262,None,,,,,,,,,,,,,,,,,,research,153,38,silent,new,null,2292.714614,None,2292.714614,None,5,2.6410182,2292.714614,None,2.6410182,2295.384608,None,2295.895557,None,2295.895557,None,r,1.0999437,2295.895557,None,1.0999437,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,2301.033977,None,,,,,,,,,,,,,,,,,,personnel,98,39,silent,new,null,2297.519597,None,2297.519597,None,1,2.2280295,2297.519597,None,2.2280295,2299.772087,None,2300.283297,None,2300.283297,None,r,0.7282999,2300.283297,None,0.7282999,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,2304.537728,None,,,,,,,,,,,,,,,,,,notice,36,40,silent,old,blue,2301.539204,None,2301.539204,None,6,1.8403437,2301.539204,None,1.8403437,2303.403204,None,2303.905864,None,2303.905864,None,r,0.601691,2303.905864,None,0.601691,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,2311.02712,None,,,,,,,,,,,,,,,,,,clean,17,41,silent,old,yellow,2305.039121,None,2305.039121,None,4,4.7245143,2305.039121,None,4.7245143,2309.793108,None,2310.293182,None,2310.293182,None,f,0.7103557,2310.293182,None,0.7103557,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
