StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,138,0,138,0,,,,,,,,,,,,,,,,,,,,,,1425.821329,None,,,,,,,,,,,,,,,,,comfort,29,139,aloud,old,blue,1422.769208,None,1422.769208,None,1,1.5982658,1422.769208,None,1.5982658,1424.38814,None,1424.906758,None,1424.906758,None,n,0.8928245,1424.906758,None,0.8928245,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,,,,,1430.390471,None,,,,,,,,,,,,,,,,,light,88,140,aloud,old,red,1426.34239,None,1426.34239,None,6,2.1291031,1426.34239,None,2.1291031,1428.491265,None,1429.00594,None,1429.00594,None,r,1.3696182,1429.00594,None,1.3696182,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,140,0,140,0,,,,,,,,,,,,,,,,,,,,,,1434.794813,None,,,,,,,,,,,,,,,,,prime,141,141,aloud,new,null,1430.901249,None,1430.901249,None,1,2.314251,1430.901249,None,2.314251,1433.246006,None,1433.760327,None,1433.760327,None,n,1.0151987,1433.760327,None,1.0151987,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,,,,,1439.783159,None,,,,,,,,,,,,,,,,,short,11,142,aloud,old,yellow,1435.306609,None,1435.306609,None,1,2.285002,1435.306609,None,2.285002,1437.617143,None,1438.131471,None,1438.131471,None,n,1.6280964,1438.131471,None,1.6280964,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,,,,,1451.67829,None,,,,,,,,,,,,,,,,,minor,140,143,aloud,new,null,1440.287852,None,1440.287852,None,1,9.9356686,1440.287852,None,9.9356686,1450.245337,None,1450.760825,None,1450.760825,None,n,0.8948394,1450.760825,None,0.8948394,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,,,,,1455.69899,None,,,,,,,,,,,,,,,,,object,37,144,aloud,old,blue,1452.186231,None,1452.186231,None,1,1.9252911,1452.186231,None,1.9252911,1454.136665,None,1454.651379,None,1454.651379,None,n,1.0200735,1454.651379,None,1.0200735,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,,,,,1461.488089,None,,,,,,,,,,,,,,,,,cover,164,145,aloud,new,null,1456.213124,None,1456.213124,None,2,3.9782547,1456.213124,None,3.9782547,1460.222139,None,1460.73745,None,1460.73745,None,f,0.7260259,1460.73745,None,0.7260259,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,,,,,1465.396862,None,,,,,,,,,,,,,,,,,region,166,146,aloud,new,null,1462.000214,None,1462.000214,None,1,1.7110925,1462.000214,None,1.7110925,1463.741864,None,1464.257569,None,1464.257569,None,n,1.1101454,1464.257569,None,1.1101454,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,,,,,1472.033984,None,,,,,,,,,,,,,,,,,management,165,147,aloud,new,null,1465.913626,None,1465.913626,None,1,4.4938412,1465.913626,None,4.4938412,1470.43325,None,1470.949365,None,1470.949365,None,n,1.0582694,1470.949365,None,1.0582694,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,,,,,1475.335229,None,,,,,,,,,,,,,,,,,shear,36,148,aloud,old,blue,1472.549195,None,1472.549195,None,6,1.434231601,1472.549195,None,1.434231601,1474.003655,None,1474.520078,None,1474.520078,None,r,0.7995226,1474.520078,None,0.7995226,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
