StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,433.70192700001644,None,couch,10,73,sing,yellow,431.7012321999646,None,None,,431.7012321999646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,436.2043836999801,None,damage,38,74,sing,blue,434.20244470000034,None,None,,434.20244470000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,438.70653899997706,None,employment,32,75,sing,blue,436.7049955999828,None,None,,436.7049955999828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,441.209366999974,None,territory,77,76,sing,red,439.20834929996636,None,None,,439.20834929996636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,443.7118760999874,None,passage,15,77,sing,yellow,441.71182659995975,None,None,,441.71182659995975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,446.23113480000757,None,appearance,51,78,sing,blue,444.22129129996756,None,None,,444.22129129996756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,448.7335860999883,None,search,86,79,sing,red,446.7315581999719,None,None,,446.7315581999719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,451.2528128999984,None,skill,81,80,sing,red,449.24253150000004,None,None,,449.24253150000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,453.7550244999584,None,figure,28,81,sing,yellow,451.7559037999599,None,None,,451.7559037999599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,456.2744162000017,None,corner,64,82,sing,red,454.2611614000052,None,None,,454.2611614000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,458.77706309995847,None,carry,7,83,sing,yellow,456.7765162999858,None,None,,456.7765162999858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,461.2960645999992,None,goose,3,84,sing,yellow,459.28657699999167,None,None,,459.28657699999167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,463.81535459996667,None,interview,63,85,sing,red,461.79976769996574,None,None,,461.79976769996574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,466.31780809996417,None,birth,87,86,sing,red,464.31576550001046,None,None,,464.31576550001046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,468.82024609996006,None,under,35,87,sing,blue,466.82051180000417,None,None,,466.82051180000417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,471.32274709997,None,state,14,88,sing,yellow,469.32064639998134,None,None,,469.32064639998134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
