StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,872.5017786,None,,,,,,,,,,,,,,,,,theme,85,83,silent,old,red,870.5794827,None,870.5794827,None,1,1.0593901,870.5794827,None,1.0593901,871.6685068,None,872.1725308,None,872.1725308,None,n,0.3143758,872.1725308,None,0.3143758,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,876.0236599,None,,,,,,,,,,,,,,,,,division,110,84,silent,new,null,873.0115304,None,873.0115304,None,6,1.3713526,873.0115304,None,1.3713526,874.4118571,None,874.9212594,None,874.9212594,None,f,1.069636,874.9212594,None,1.069636,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,879.7089563,None,,,,,,,,,,,,,,,,,sound,131,85,silent,new,null,876.5256375,None,876.5256375,None,2,1.1933975,876.5256375,None,1.1933975,877.7458082,None,878.2579201,None,878.2579201,None,n,1.4289395,878.2579201,None,1.4289395,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,883.0293228,None,,,,,,,,,,,,,,,,,series,51,86,silent,old,blue,880.2213675,None,880.2213675,None,5,1.7934761,880.2213675,None,1.7934761,882.0468342,None,882.5657406,None,882.5657406,None,f,0.433175,882.5657406,None,0.433175,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,889.4359127,None,,,,,,,,,,,,,,,,,community,169,87,silent,new,null,883.5385952,None,883.5385952,None,5,1.7162053,883.5385952,None,1.7162053,885.2832737,None,885.8026323,None,885.8026323,None,f,3.6042199,885.8026323,None,3.6042199,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,892.3219798,None,,,,,,,,,,,,,,,,,break,141,88,silent,new,null,889.9442039,None,889.9442039,None,1,1.6307467,889.9442039,None,1.6307467,891.6114737,None,892.1218145,None,892.1218145,None,n,0.1730669,892.1218145,None,0.1730669,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,896.5928048,None,,,,,,,,,,,,,,,,,people,107,89,silent,new,null,892.8255708,None,892.8255708,None,5,2.8294324,892.8255708,None,2.8294324,895.6761753,None,896.1759071,None,896.1759071,None,f,0.3909649,896.1759071,None,0.3909649,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,899.9127906,None,,,,,,,,,,,,,,,,,youth,103,90,silent,new,null,897.0963717,None,897.0963717,None,5,1.6304566,897.0963717,None,1.6304566,898.7450542,None,899.2512893,None,899.2512893,None,r,0.6355495,899.2512893,None,0.6355495,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,903.4663895,None,,,,,,,,,,,,,,,,,front,36,91,silent,old,blue,900.4174068,None,900.4174068,None,1,2.2054195,900.4174068,None,2.2054195,902.6501881,None,903.1495007,None,903.1495007,None,n,0.2893788,903.1495007,None,0.2893788,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,906.1857449,None,,,,,,,,,,,,,,,,,shear,39,92,silent,old,blue,903.9772246,None,903.9772246,None,1,1.3896178,903.9772246,None,1.3896178,905.3872032,None,905.9070273,None,905.9070273,None,n,0.2598777,905.9070273,None,0.2598777,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
